ISO,NODEJ,NODEI,LONFR,LATFR,LONTO,LATTO,PrdMIG
PER,7,5,-74.08343953,-14.09164833,-69.75730774,-15.68030893,946.9993217
PER,7,6,-78.74559581,-6.430283524,-69.75730774,-15.68030893,299.4072245
PER,7,8,-72.15360886,-13.19106821,-69.75730774,-15.68030893,1179.830948
PER,7,9,-75.00276985,-13.02388758,-69.75730774,-15.68030893,726.2095451
PER,7,10,-76.04064201,-9.421675603,-69.75730774,-15.68030893,492.2928747
PER,7,11,-75.57482117,-14.23509723,-69.75730774,-15.68030893,795.983508
PER,7,12,-74.87696792,-11.54178273,-69.75730774,-15.68030893,678.0811464
PER,7,13,-78.37023831,-7.92139022,-69.75730774,-15.68030893,385.2281305
PER,7,14,-79.82411326,-6.353049181,-69.75730774,-15.68030893,270.9159489
PER,7,15,-76.62769784,-11.78596373,-69.75730774,-15.68030893,1798.659666
PER,7,16,-74.42411546,-4.124846854,-69.75730774,-15.68030893,264.7275917
PER,7,17,-70.53171957,-11.97269888,-69.75730774,-15.68030893,828.0012821
PER,7,18,-70.83904631,-16.86027059,-69.75730774,-15.68030893,1145.970708
PER,7,19,-75.30763472,-10.39655007,-69.75730774,-15.68030893,480.2454339
PER,7,20,-80.33586071,-5.13336099,-69.75730774,-15.68030893,346.2686411
PER,7,21,-69.95307962,-14.93333917,-69.75730774,-15.68030893,1254.421935
PER,7,22,-76.72912743,-7.039530615,-69.75730774,-15.68030893,292.3706159
PER,7,23,-70.27755984,-17.64416077,-69.75730774,-15.68030893,1019.302097
PER,7,24,-80.54525512,-3.857496081,-69.75730774,-15.68030893,149.8629789
PER,7,25,-73.44492865,-9.621717782,-69.75730774,-15.68030893,483.8165001
PER,8,1,-78.05017218,-5.077252864,-72.15360886,-13.19106821,613.7290388
PER,8,2,-77.67179525,-9.40712495,-72.15360886,-13.19106821,1040.22644
PER,8,3,-72.97537807,-14.02771348,-72.15360886,-13.19106821,2000.064311
PER,8,4,-72.4755394,-15.84352375,-72.15360886,-13.19106821,1814.390012
PER,8,5,-74.08343953,-14.09164833,-72.15360886,-13.19106821,1763.458886
PER,8,6,-78.74559581,-6.430283524,-72.15360886,-13.19106821,640.0294456
PER,8,7,-69.75730774,-15.68030893,-72.15360886,-13.19106821,1957.066754
PER,8,9,-75.00276985,-13.02388758,-72.15360886,-13.19106821,1459.859624
PER,8,10,-76.04064201,-9.421675603,-72.15360886,-13.19106821,1051.976348
PER,8,11,-75.57482117,-14.23509723,-72.15360886,-13.19106821,1467.72041
PER,8,12,-74.87696792,-11.54178273,-72.15360886,-13.19106821,1437.134919
PER,8,13,-78.37023831,-7.92139022,-72.15360886,-13.19106821,821.4699725
PER,8,14,-79.82411326,-6.353049181,-72.15360886,-13.19106821,578.157613
PER,8,15,-76.62769784,-11.78596373,-72.15360886,-13.19106821,3704.922176
PER,8,16,-74.42411546,-4.124846854,-72.15360886,-13.19106821,542.3447864
PER,8,17,-70.53171957,-11.97269888,-72.15360886,-13.19106821,1415.066506
PER,8,18,-70.83904631,-16.86027059,-72.15360886,-13.19106821,1119.405356
PER,8,19,-75.30763472,-10.39655007,-72.15360886,-13.19106821,1025.437603
PER,8,20,-80.33586071,-5.13336099,-72.15360886,-13.19106821,739.9097862
PER,8,21,-69.95307962,-14.93333917,-72.15360886,-13.19106821,1279.217045
PER,8,22,-76.72912743,-7.039530615,-72.15360886,-13.19106821,623.9626915
PER,8,23,-70.27755984,-17.64416077,-72.15360886,-13.19106821,933.0267284
PER,8,24,-80.54525512,-3.857496081,-72.15360886,-13.19106821,320.4367225
PER,8,25,-73.44492865,-9.621717782,-72.15360886,-13.19106821,1013.859525
PER,9,1,-78.05017218,-5.077252864,-75.00276985,-13.02388758,284.8960662
PER,9,2,-77.67179525,-9.40712495,-75.00276985,-13.02388758,528.0548447
PER,9,3,-72.97537807,-14.02771348,-75.00276985,-13.02388758,653.6201219
PER,9,4,-72.4755394,-15.84352375,-75.00276985,-13.02388758,592.1398696
PER,9,5,-74.08343953,-14.09164833,-75.00276985,-13.02388758,732.9558032
PER,9,6,-78.74559581,-6.430283524,-75.00276985,-13.02388758,310.9957983
PER,9,7,-69.75730774,-15.68030893,-75.00276985,-13.02388758,536.3767552
PER,9,8,-72.15360886,-13.19106821,-75.00276985,-13.02388758,639.3447428
PER,9,10,-76.04064201,-9.421675603,-75.00276985,-13.02388758,488.6708316
PER,9,11,-75.57482117,-14.23509723,-75.00276985,-13.02388758,733.7344603
PER,9,12,-74.87696792,-11.54178273,-75.00276985,-13.02388758,669.7912508
PER,9,13,-78.37023831,-7.92139022,-75.00276985,-13.02388758,401.5013583
PER,9,14,-79.82411326,-6.353049181,-75.00276985,-13.02388758,283.1771537
PER,9,15,-76.62769784,-11.78596373,-75.00276985,-13.02388758,1961.391023
PER,9,16,-74.42411546,-4.124846854,-75.00276985,-13.02388758,213.5756791
PER,9,17,-70.53171957,-11.97269888,-75.00276985,-13.02388758,372.8423477
PER,9,18,-70.83904631,-16.86027059,-75.00276985,-13.02388758,329.9394736
PER,9,19,-75.30763472,-10.39655007,-75.00276985,-13.02388758,469.9902386
PER,9,20,-80.33586071,-5.13336099,-75.00276985,-13.02388758,358.4211631
PER,9,21,-69.95307962,-14.93333917,-75.00276985,-13.02388758,336.5431218
PER,9,22,-76.72912743,-7.039530615,-75.00276985,-13.02388758,281.4151653
PER,9,23,-70.27755984,-17.64416077,-75.00276985,-13.02388758,274.7451976
PER,9,24,-80.54525512,-3.857496081,-75.00276985,-13.02388758,152.7995809
PER,9,25,-73.44492865,-9.621717782,-75.00276985,-13.02388758,379.6053827
PER,10,1,-78.05017218,-5.077252864,-76.04064201,-9.421675603,826.654793
PER,10,2,-77.67179525,-9.40712495,-76.04064201,-9.421675603,1361.15963
PER,10,3,-72.97537807,-14.02771348,-76.04064201,-9.421675603,727.5471579
PER,10,4,-72.4755394,-15.84352375,-76.04064201,-9.421675603,633.860624
PER,10,5,-74.08343953,-14.09164833,-76.04064201,-9.421675603,762.2775436
PER,10,6,-78.74559581,-6.430283524,-76.04064201,-9.421675603,865.5469699
PER,10,7,-69.75730774,-15.68030893,-76.04064201,-9.421675603,608.0406069
PER,10,8,-72.15360886,-13.19106821,-76.04064201,-9.421675603,770.3830639
PER,10,9,-75.00276985,-13.02388758,-76.04064201,-9.421675603,817.6497053
PER,10,11,-75.57482117,-14.23509723,-76.04064201,-9.421675603,792.9089143
PER,10,12,-74.87696792,-11.54178273,-76.04064201,-9.421675603,1029.537824
PER,10,13,-78.37023831,-7.92139022,-76.04064201,-9.421675603,1104.998676
PER,10,14,-79.82411326,-6.353049181,-76.04064201,-9.421675603,780.7291774
PER,10,15,-76.62769784,-11.78596373,-76.04064201,-9.421675603,3233.857289
PER,10,16,-74.42411546,-4.124846854,-76.04064201,-9.421675603,591.7410093
PER,10,17,-70.53171957,-11.97269888,-76.04064201,-9.421675603,529.8554927
PER,10,18,-70.83904631,-16.86027059,-76.04064201,-9.421675603,359.4969775
PER,10,19,-75.30763472,-10.39655007,-76.04064201,-9.421675603,996.8455345
PER,10,20,-80.33586071,-5.13336099,-76.04064201,-9.421675603,1000.939713
PER,10,21,-69.95307962,-14.93333917,-76.04064201,-9.421675603,397.5163929
PER,10,22,-76.72912743,-7.039530615,-76.04064201,-9.421675603,819.5554126
PER,10,23,-70.27755984,-17.64416077,-76.04064201,-9.421675603,298.5386605
PER,10,24,-80.54525512,-3.857496081,-76.04064201,-9.421675603,432.6836697
PER,10,25,-73.44492865,-9.621717782,-76.04064201,-9.421675603,774.9613013
PER,11,1,-78.05017218,-5.077252864,-75.57482117,-14.23509723,393.0112235
PER,11,2,-77.67179525,-9.40712495,-75.57482117,-14.23509723,748.7861025
PER,11,3,-72.97537807,-14.02771348,-75.57482117,-14.23509723,986.3198721
PER,11,4,-72.4755394,-15.84352375,-75.57482117,-14.23509723,976.8004815
PER,11,5,-74.08343953,-14.09164833,-75.57482117,-14.23509723,1145.435392
PER,11,6,-78.74559581,-6.430283524,-75.57482117,-14.23509723,436.82622
PER,11,7,-69.75730774,-15.68030893,-75.57482117,-14.23509723,837.183902
PER,11,8,-72.15360886,-13.19106821,-75.57482117,-14.23509723,915.3688225
PER,11,9,-75.00276985,-13.02388758,-75.57482117,-14.23509723,1045.619114
PER,11,10,-76.04064201,-9.421675603,-75.57482117,-14.23509723,664.2787193
PER,11,12,-74.87696792,-11.54178273,-75.57482117,-14.23509723,885.173165
PER,11,13,-78.37023831,-7.92139022,-75.57482117,-14.23509723,567.7580388
PER,11,14,-79.82411326,-6.353049181,-75.57482117,-14.23509723,404.2914892
PER,11,15,-76.62769784,-11.78596373,-75.57482117,-14.23509723,2835.589137
PER,11,16,-74.42411546,-4.124846854,-75.57482117,-14.23509723,283.5572129
PER,11,17,-70.53171957,-11.97269888,-75.57482117,-14.23509723,518.4681808
PER,11,18,-70.83904631,-16.86027059,-75.57482117,-14.23509723,541.2509675
