,,,Private Health,Core Activity Need for Assistance - Census
Code,Label,Year,Taxpayers who report having private health insurance (no.),Persons who have need for assistance with core activities (%)
14300,Junee (A),2015,"1,689",-
14300,Junee (A),2016,"1,719",5.3
14300,Junee (A),2017,"1,811",-
14350,Kempsey (A),2011,-,8.3
14350,Kempsey (A),2013,"4,546",-
14350,Kempsey (A),2014,"5,219",-
14350,Kempsey (A),2015,"5,621",-
14350,Kempsey (A),2016,"5,809",8.7
14350,Kempsey (A),2017,"5,820",-
14400,Kiama (A),2011,-,4.6
14400,Kiama (A),2013,"7,795",-
14400,Kiama (A),2014,"8,250",-
14400,Kiama (A),2015,"8,728",-
14400,Kiama (A),2016,"8,970",4.6
14400,Kiama (A),2017,"9,208",-
14500,Ku-ring-gai (A),2011,-,3.1
14500,Ku-ring-gai (A),2013,"60,045",-
14500,Ku-ring-gai (A),2014,"62,136",-
14500,Ku-ring-gai (A),2015,"64,425",-
14500,Ku-ring-gai (A),2016,"66,010",3.6
14500,Ku-ring-gai (A),2017,"67,358",-
14550,Kyogle (A),2011,-,6.6
14550,Kyogle (A),2013,"1,863",-
14550,Kyogle (A),2014,"2,054",-
14550,Kyogle (A),2015,"2,196",-
14550,Kyogle (A),2016,"2,230",7.3
14550,Kyogle (A),2017,"2,302",-
14600,Lachlan (A),2011,-,5.3
14600,Lachlan (A),2013,"1,671",-
14600,Lachlan (A),2014,"1,776",-
14600,Lachlan (A),2015,"1,829",-
14600,Lachlan (A),2016,"1,831",5.3
14600,Lachlan (A),2017,"1,912",-
14650,Lake Macquarie (C),2011,-,6.1
14650,Lake Macquarie (C),2013,"63,212",-
14650,Lake Macquarie (C),2014,"66,530",-
14650,Lake Macquarie (C),2015,"69,813",-
14650,Lake Macquarie (C),2016,"71,745",6.6
14650,Lake Macquarie (C),2017,"72,634",-
14700,Lane Cove (A),2011,-,2.9
14700,Lane Cove (A),2013,"15,935",-
14700,Lane Cove (A),2014,"16,934",-
14700,Lane Cove (A),2015,"17,761",-
14700,Lane Cove (A),2016,"18,818",3.1
14700,Lane Cove (A),2017,"19,560",-
14750,Leeton (A),2011,-,4.9
14750,Leeton (A),2013,"2,856",-
14750,Leeton (A),2014,"3,148",-
14750,Leeton (A),2015,"3,262",-
14750,Leeton (A),2016,"3,352",5.2
14750,Leeton (A),2017,"3,364",-
14850,Lismore (C),2011,-,5.7
14850,Lismore (C),2013,"11,166",-
14850,Lismore (C),2014,"12,208",-
14850,Lismore (C),2015,"12,662",-
14850,Lismore (C),2016,"12,910",6.4
14850,Lismore (C),2017,"13,067",-
14870,Lithgow (C),2011,-,5.8
14870,Lithgow (C),2013,"5,611",-
14870,Lithgow (C),2014,"5,895",-
14870,Lithgow (C),2015,"6,070",-
14870,Lithgow (C),2016,"6,163",6.6
14870,Lithgow (C),2017,"6,115",-
14900,Liverpool (C),2011,-,5.4
14900,Liverpool (C),2013,"35,909",-
14900,Liverpool (C),2014,"39,407",-
14900,Liverpool (C),2015,"41,960",-
14900,Liverpool (C),2016,"43,884",6.2
14900,Liverpool (C),2017,"45,694",-
14920,Liverpool Plains (A),2011,-,6.4
14920,Liverpool Plains (A),2013,"2,159",-
14920,Liverpool Plains (A),2014,"2,303",-
14920,Liverpool Plains (A),2015,"2,381",-
14920,Liverpool Plains (A),2016,"2,358",6.3
14920,Liverpool Plains (A),2017,"2,367",-
14950,Lockhart (A),2011,-,6.1
14950,Lockhart (A),2013,"1,108",-
14950,Lockhart (A),2014,"1,166",-
14950,Lockhart (A),2015,"1,199",-
14950,Lockhart (A),2016,934,6.2
14950,Lockhart (A),2017,"1,248",-
15050,Maitland (C),2011,-,5.1
15050,Maitland (C),2013,"23,056",-
15050,Maitland (C),2014,"24,727",-
15050,Maitland (C),2015,"26,044",-
15050,Maitland (C),2016,"26,989",5.8
15050,Maitland (C),2017,"27,926",-
15240,Mid-Coast (A),2011,-,7.6
15240,Mid-Coast (A),2013,"20,203",-
15240,Mid-Coast (A),2014,"21,584",-
15240,Mid-Coast (A),2015,"22,818",-
15240,Mid-Coast (A),2016,"23,386",8.2
15240,Mid-Coast (A),2017,"23,905",-
15270,Mid-Western Regional (A),2011,-,5.6
15270,Mid-Western Regional (A),2013,"6,728",-
