,,,Private Health,Core Activity Need for Assistance - Census
Code,Label,Year,Taxpayers who report having private health insurance (no.),Persons who have need for assistance with core activities (%)
30370,Banana (S),2013,"5,398",-
30370,Banana (S),2014,"5,524",-
30370,Banana (S),2015,"5,612",-
30370,Banana (S),2016,"5,610",3.7
30370,Banana (S),2017,"5,422",-
30410,Barcaldine (R),2011,-,3.5
30410,Barcaldine (R),2013,953,-
30410,Barcaldine (R),2014,"1,016",-
30410,Barcaldine (R),2015,"1,007",-
30410,Barcaldine (R),2016,778,3.8
30410,Barcaldine (R),2017,"1,019",-
30450,Barcoo (S),2011,-,3.1
30450,Barcoo (S),2013,105,-
30450,Barcoo (S),2014,90,-
30450,Barcoo (S),2015,87,-
30450,Barcoo (S),2016,91,3.4
30450,Barcoo (S),2017,107,-
30760,Blackall-Tambo (R),2011,-,4.5
30760,Blackall-Tambo (R),2013,583,-
30760,Blackall-Tambo (R),2014,588,-
30760,Blackall-Tambo (R),2015,565,-
30760,Blackall-Tambo (R),2016,509,5.9
30760,Blackall-Tambo (R),2017,563,-
30900,Boulia (S),2011,-,2.9
30900,Boulia (S),2013,95,-
30900,Boulia (S),2014,98,-
30900,Boulia (S),2015,99,-
30900,Boulia (S),2016,53,1.9
30900,Boulia (S),2017,98,-
31000,Brisbane (C),2011,-,3.6
31000,Brisbane (C),2013,"395,739",-
31000,Brisbane (C),2014,"416,037",-
31000,Brisbane (C),2015,"435,138",-
31000,Brisbane (C),2016,"445,945",4.0
31000,Brisbane (C),2017,"456,022",-
31750,Bulloo (S),2011,-,1.0
31750,Bulloo (S),2013,67,-
31750,Bulloo (S),2014,71,-
31750,Bulloo (S),2015,82,-
31750,Bulloo (S),2016,71,2.0
31750,Bulloo (S),2017,80,-
31820,Bundaberg (R),2011,-,7.2
31820,Bundaberg (R),2013,"22,120",-
31820,Bundaberg (R),2014,"22,821",-
31820,Bundaberg (R),2015,"23,384",-
31820,Bundaberg (R),2016,"23,157",8.3
31820,Bundaberg (R),2017,"23,325",-
31900,Burdekin (S),2011,-,5.2
31900,Burdekin (S),2013,"6,251",-
31900,Burdekin (S),2014,"6,461",-
31900,Burdekin (S),2015,"6,577",-
31900,Burdekin (S),2016,"6,603",5.6
31900,Burdekin (S),2017,"6,540",-
31950,Burke (S),2011,-,1.6
31950,Burke (S),2013,42,-
31950,Burke (S),2014,48,-
31950,Burke (S),2015,49,-
31950,Burke (S),2016,40,2.1
31950,Burke (S),2017,59,-
32080,Cairns (R),2011,-,3.8
32080,Cairns (R),2013,"38,457",-
32080,Cairns (R),2014,"40,493",-
32080,Cairns (R),2015,"41,736",-
32080,Cairns (R),2016,"42,469",4.4
32080,Cairns (R),2017,"43,039",-
32250,Carpentaria (S),2011,-,3.9
32250,Carpentaria (S),2013,298,-
32250,Carpentaria (S),2014,337,-
32250,Carpentaria (S),2015,321,-
32250,Carpentaria (S),2016,357,3.7
32250,Carpentaria (S),2017,339,-
32260,Cassowary Coast (R),2011,-,5.1
32260,Cassowary Coast (R),2013,"6,936",-
32260,Cassowary Coast (R),2014,"7,266",-
32260,Cassowary Coast (R),2015,"7,290",-
32260,Cassowary Coast (R),2016,"7,123",6.1
32260,Cassowary Coast (R),2017,"7,223",-
32270,Central Highlands (R) (Qld),2011,-,2.2
32270,Central Highlands (R) (Qld),2013,"10,629",-
32270,Central Highlands (R) (Qld),2014,"10,825",-
32270,Central Highlands (R) (Qld),2015,"10,818",-
32270,Central Highlands (R) (Qld),2016,"9,963",2.6
32270,Central Highlands (R) (Qld),2017,"10,146",-
32310,Charters Towers (R),2011,-,5.8
32310,Charters Towers (R),2013,"3,256",-
32310,Charters Towers (R),2014,"3,282",-
32310,Charters Towers (R),2015,"3,341",-
32310,Charters Towers (R),2016,"3,147",6.4
32310,Charters Towers (R),2017,"3,165",-
32330,Cherbourg (S),2011,-,4.8
32330,Cherbourg (S),2016,-,4.1
32450,Cloncurry (S),2011,-,1.9
32450,Cloncurry (S),2013,723,-
32450,Cloncurry (S),2014,785,-
32450,Cloncurry (S),2015,799,-
32450,Cloncurry (S),2016,805,1.7
32450,Cloncurry (S),2017,804,-
32500,Cook (S),2011,-,3.2
32500,Cook (S),2013,468,-
32500,Cook (S),2014,531,-
32500,Cook (S),2015,542,-
32500,Cook (S),2016,534,4.1
32500,Cook (S),2017,609,-
32600,Croydon (S),2011,-,1.0
32600,Croydon (S),2013,50,-
32600,Croydon (S),2014,62,-
32600,Croydon (S),2015,61,-
32600,Croydon (S),2016,55,4.1
32600,Croydon (S),2017,57,-
32750,Diamantina (S),2011,-,3.2
32750,Diamantina (S),2013,66,-
32750,Diamantina (S),2014,74,-
32750,Diamantina (S),2015,79,-
32750,Diamantina (S),2016,45,-
32750,Diamantina (S),2017,60,-
32770,Doomadgee (S),2011,-,1.5
32770,Doomadgee (S),2013,34,-
32770,Doomadgee (S),2014,35,-
32770,Doomadgee (S),2015,38,-
32770,Doomadgee (S),2016,31,1.9
32770,Doomadgee (S),2017,32,-
32810,Douglas (S),2011,-,3.9
32810,Douglas (S),2013,"2,491",-
32810,Douglas (S),2014,"2,747",-
32810,Douglas (S),2015,"2,758",-
32810,Douglas (S),2016,"2,811",3.7
32810,Douglas (S),2017,"2,961",-
33100,Etheridge (S),2011,-,2.8
33100,Etheridge (S),2013,200,-
33100,Etheridge (S),2014,214,-
33100,Etheridge (S),2015,217,-
33100,Etheridge (S),2016,204,3.6
33100,Etheridge (S),2017,226,-
33200,Flinders (S) (Qld),2011,-,4.2
33200,Flinders (S) (Qld),2013,582,-
33200,Flinders (S) (Qld),2014,594,-
33200,Flinders (S) (Qld),2015,590,-
33200,Flinders (S) (Qld),2016,600,4.2
33200,Flinders (S) (Qld),2017,589,-
33220,Fraser Coast (R),2011,-,8.2
33220,Fraser Coast (R),2013,"17,595",-
33220,Fraser Coast (R),2014,"18,550",-
33220,Fraser Coast (R),2015,"19,263",-
33220,Fraser Coast (R),2016,"19,313",9.7
33220,Fraser Coast (R),2017,"19,262",-
33360,Gladstone (R),2011,-,3.4
33360,Gladstone (R),2013,"21,516",-
33360,Gladstone (R),2014,"22,299",-
33360,Gladstone (R),2015,"24,016",-
33360,Gladstone (R),2016,"22,589",4.0
33360,Gladstone (R),2017,"21,300",-
33430,Gold Coast (C),2011,-,4.2
33430,Gold Coast (C),2013,"141,697",-
33430,Gold Coast (C),2014,"153,438",-
33430,Gold Coast (C),2015,"161,897",-
33430,Gold Coast (C),2016,"166,831",4.9
33430,Gold Coast (C),2017,"172,396",-
33610,Goondiwindi (R),2011,-,4.2
33610,Goondiwindi (R),2013,"3,725",-
33610,Goondiwindi (R),2014,"3,919",-
33610,Goondiwindi (R),2015,"3,956",-
33610,Goondiwindi (R),2016,"4,039",4.6
33610,Goondiwindi (R),2017,"3,992",-
33620,Gympie (R),2011,-,6.5
33620,Gympie (R),2013,"9,258",-
33620,Gympie (R),2014,"9,726",-
33620,Gympie (R),2015,"10,023",-
33620,Gympie (R),2016,"10,099",8.0
33620,Gympie (R),2017,"10,107",-
33800,Hinchinbrook (S),2011,-,7.1
33800,Hinchinbrook (S),2013,"3,990",-
33800,Hinchinbrook (S),2014,"3,992",-
33800,Hinchinbrook (S),2015,"4,060",-
33800,Hinchinbrook (S),2016,"3,991",7.1
33800,Hinchinbrook (S),2017,"4,045",-
33830,Hope Vale (S),2011,-,2.7
33830,Hope Vale (S),2013,23,-
33830,Hope Vale (S),2016,-,3.0
33960,Ipswich (C),2011,-,4.9
33960,Ipswich (C),2013,"37,493",-
33960,Ipswich (C),2014,"40,397",-
33960,Ipswich (C),2015,"42,786",-
33960,Ipswich (C),2016,"44,271",5.7
33960,Ipswich (C),2017,"46,441",-
33980,Isaac (R),2011,-,1.4
33980,Isaac (R),2013,"8,330",-
33980,Isaac (R),2014,"8,294",-
33980,Isaac (R),2015,"8,032",-
33980,Isaac (R),2016,"7,511",1.8
33980,Isaac (R),2017,"7,396",-
34420,Kowanyama (S),2011,-,3.4
34420,Kowanyama (S),2014,21,-
34420,Kowanyama (S),2015,20,-
34420,Kowanyama (S),2016,27,3.0
34420,Kowanyama (S),2017,26,-
34530,Livingstone (S),2011,-,4.2
34530,Livingstone (S),2013,"11,458",-
34530,Livingstone (S),2014,"11,718",-
34530,Livingstone (S),2015,"12,277",-
34530,Livingstone (S),2016,"12,211",5.0
34530,Livingstone (S),2017,"12,346",-
34570,Lockhart River (S),2011,-,0.6
34570,Lockhart River (S),2016,-,2.8
34580,Lockyer Valley (R),2011,-,5.9
34580,Lockyer Valley (R),2013,"7,923",-
34580,Lockyer Valley (R),2014,"8,411",-
34580,Lockyer Valley (R),2015,"8,745",-
34580,Lockyer Valley (R),2016,"8,785",6.4
34580,Lockyer Valley (R),2017,"9,020",-
34590,Logan (C),2011,-,4.4
34590,Logan (C),2013,"55,033",-
34590,Logan (C),2014,"59,703",-
34590,Logan (C),2015,"62,878",-
34590,Logan (C),2016,"63,970",5.6
34590,Logan (C),2017,"65,164",-
34710,Longreach (R),2011,-,4.0
34710,Longreach (R),2013,"1,268",-
34710,Longreach (R),2014,"1,320",-
34710,Longreach (R),2015,"1,341",-
34710,Longreach (R),2016,"1,300",5.1
34710,Longreach (R),2017,"1,320",-
34770,Mackay (R),2011,-,3.7
34770,Mackay (R),2013,"41,819",-
34770,Mackay (R),2014,"42,429",-
34770,Mackay (R),2015,"42,503",-
34770,Mackay (R),2016,"41,157",4.4
34770,Mackay (R),2017,"40,913",-
34800,McKinlay (S),2011,-,2.3
34800,McKinlay (S),2013,320,-
34800,McKinlay (S),2014,346,-
34800,McKinlay (S),2015,356,-
34800,McKinlay (S),2016,171,2.8
34800,McKinlay (S),2017,329,-
34830,Mapoon (S),2011,-,5.7
34830,Mapoon (S),2016,-,4.2
34860,Maranoa (R),2011,-,3.8
34860,Maranoa (R),2013,"3,667",-
34860,Maranoa (R),2014,"3,992",-
34860,Maranoa (R),2015,"4,055",-
34860,Maranoa (R),2016,"4,267",4.2
34860,Maranoa (R),2017,"4,438",-
34880,Mareeba (S),2011,-,4.5
34880,Mareeba (S),2013,"4,644",-
34880,Mareeba (S),2014,"4,908",-
34880,Mareeba (S),2015,"5,087",-
34880,Mareeba (S),2016,"5,067",5.0
34880,Mareeba (S),2017,"5,159",-
35010,Moreton Bay (R),2011,-,4.8
35010,Moreton Bay (R),2013,"102,422",-
35010,Moreton Bay (R),2014,"109,421",-
35010,Moreton Bay (R),2015,"115,014",-
35010,Moreton Bay (R),2016,"117,586",5.6
35010,Moreton Bay (R),2017,"120,860",-
35250,Mornington (S),2011,-,3.0
35250,Mornington (S),2013,34,-
35250,Mornington (S),2014,35,-
35250,Mornington (S),2015,43,-
35250,Mornington (S),2016,24,3.1
35250,Mornington (S),2017,43,-
35300,Mount Isa (C),2011,-,2.1
35300,Mount Isa (C),2013,"5,934",-
35300,Mount Isa (C),2014,"6,100",-
35300,Mount Isa (C),2015,"6,185",-
35300,Mount Isa (C),2016,"5,780",2.4
35300,Mount Isa (C),2017,"5,863",-
35600,Murweh (S),2011,-,4.2
35600,Murweh (S),2013,"1,111",-
35600,Murweh (S),2014,"1,162",-
35600,Murweh (S),2015,"1,177",-
35600,Murweh (S),2016,"1,147",4.6
35600,Murweh (S),2017,"1,119",-
35670,Napranum (S),2011,-,2.9
35670,Napranum (S),2016,-,2.9
35740,Noosa (S),2011,-,5.1
35740,Noosa (S),2013,"14,847",-
35740,Noosa (S),2014,"15,999",-
35740,Noosa (S),2015,"16,974",-
35740,Noosa (S),2016,"17,500",5.2
35740,Noosa (S),2017,"17,965",-
35760,North Burnett (R),2011,-,5.7
35760,North Burnett (R),2013,"2,493",-
35760,North Burnett (R),2014,"2,564",-
35760,North Burnett (R),2015,"2,698",-
35760,North Burnett (R),2016,"2,622",6.8
35760,North Burnett (R),2017,"2,620",-
35780,Northern Peninsula Area (R),2011,-,1.6
35780,Northern Peninsula Area (R),2013,62,-
35780,Northern Peninsula Area (R),2014,79,-
35780,Northern Peninsula Area (R),2015,94,-
35780,Northern Peninsula Area (R),2016,91,2.3
35780,Northern Peninsula Area (R),2017,95,-
35790,Palm Island (S),2011,-,3.0
35790,Palm Island (S),2013,49,-
35790,Palm Island (S),2014,64,-
35790,Palm Island (S),2015,66,-
35790,Palm Island (S),2016,54,2.8
35790,Palm Island (S),2017,59,-
35800,Paroo (S),2011,-,4.6
35800,Paroo (S),2013,430,-
35800,Paroo (S),2014,425,-
35800,Paroo (S),2015,415,-
35800,Paroo (S),2016,400,5.6
35800,Paroo (S),2017,385,-
36070,Pormpuraaw (S),2011,-,4.4
36070,Pormpuraaw (S),2016,-,4.0
36070,Pormpuraaw (S),2017,22,-
36150,Quilpie (S),2011,-,4.0
36150,Quilpie (S),2013,326,-
36150,Quilpie (S),2014,320,-
36150,Quilpie (S),2015,333,-
36150,Quilpie (S),2016,315,4.6
36150,Quilpie (S),2017,309,-
36250,Redland (C),2011,-,4.7
36250,Redland (C),2013,"45,819",-
36250,Redland (C),2014,"48,745",-
36250,Redland (C),2015,"51,039",-
36250,Redland (C),2016,"51,851",5.5
36250,Redland (C),2017,"52,861",-
36300,Richmond (S),2011,-,3.6
36300,Richmond (S),2013,290,-
36300,Richmond (S),2014,294,-
36300,Richmond (S),2015,293,-
36300,Richmond (S),2016,161,4.0
36300,Richmond (S),2017,290,-
36370,Rockhampton (R),2011,-,4.9
36370,Rockhampton (R),2013,"22,779",-
36370,Rockhampton (R),2014,"23,117",-
36370,Rockhampton (R),2015,"23,731",-
36370,Rockhampton (R),2016,"23,287",6.3
36370,Rockhampton (R),2017,"23,140",-
36510,Scenic Rim (R),2011,-,5.4
36510,Scenic Rim (R),2013,"9,518",-
36510,Scenic Rim (R),2014,"10,115",-
36510,Scenic Rim (R),2015,"10,452",-
36510,Scenic Rim (R),2016,"10,419",6.2
36510,Scenic Rim (R),2017,"10,914",-
36580,Somerset (R),2011,-,6.6
36580,Somerset (R),2013,"4,326",-
36580,Somerset (R),2014,"4,677",-
36580,Somerset (R),2015,"4,826",-
36580,Somerset (R),2016,"4,838",7.4
36580,Somerset (R),2017,"5,066",-
36630,South Burnett (R),2011,-,7.9
36630,South Burnett (R),2013,"6,404",-
36630,South Burnett (R),2014,"6,538",-
36630,South Burnett (R),2015,"6,640",-
36630,South Burnett (R),2016,"6,464",9.1
36630,South Burnett (R),2017,"6,538",-
36660,Southern Downs (R),2011,-,6.4
36660,Southern Downs (R),2013,"8,722",-
36660,Southern Downs (R),2014,"9,041",-
36660,Southern Downs (R),2015,"9,232",-
36660,Southern Downs (R),2016,"9,095",7.2
36660,Southern Downs (R),2017,"9,257",-
36720,Sunshine Coast (R),2011,-,4.9
36720,Sunshine Coast (R),2013,"77,263",-
36720,Sunshine Coast (R),2014,"84,131",-
36720,Sunshine Coast (R),2015,"89,680",-
36720,Sunshine Coast (R),2016,"92,612",5.7
36720,Sunshine Coast (R),2017,"97,273",-
36820,Tablelands (R),2011,-,5.3
36820,Tablelands (R),2013,"5,715",-
36820,Tablelands (R),2014,"6,043",-
36820,Tablelands (R),2015,"6,219",-
36820,Tablelands (R),2016,"6,107",6.1
36820,Tablelands (R),2017,"6,254",-
36910,Toowoomba (R),2011,-,5.0
36910,Toowoomba (R),2013,"50,531",-
36910,Toowoomba (R),2014,"52,769",-
36910,Toowoomba (R),2015,"54,638",-
36910,Toowoomba (R),2016,"54,228",5.9
36910,Toowoomba (R),2017,"55,157",-
36950,Torres (S),2011,-,2.8
36950,Torres (S),2013,309,-
36950,Torres (S),2014,306,-
36950,Torres (S),2015,357,-
36950,Torres (S),2016,381,2.8
36950,Torres (S),2017,410,-
36960,Torres Strait Island (R),2011,-,2.8
36960,Torres Strait Island (R),2013,35,-
36960,Torres Strait Island (R),2014,44,-
36960,Torres Strait Island (R),2015,37,-
36960,Torres Strait Island (R),2016,25,2.2
36960,Torres Strait Island (R),2017,49,-
37010,Townsville (C),2011,-,3.9
37010,Townsville (C),2013,"52,876",-
37010,Townsville (C),2014,"55,043",-
37010,Townsville (C),2015,"56,068",-
37010,Townsville (C),2016,"55,189",4.9
37010,Townsville (C),2017,"54,697",-
37300,Weipa (T),2011,-,1.4
37300,Weipa (T),2013,"1,015",-
37300,Weipa (T),2014,"1,112",-
37300,Weipa (T),2015,"1,250",-
37300,Weipa (T),2016,"1,264",1.4
37300,Weipa (T),2017,"1,442",-
37310,Western Downs (R),2011,-,4.8
37310,Western Downs (R),2013,"9,108",-
37310,Western Downs (R),2014,"9,604",-
37310,Western Downs (R),2015,"9,630",-
37310,Western Downs (R),2016,"10,106",5.2
37310,Western Downs (R),2017,"10,298",-
37340,Whitsunday (R),2011,-,3.8
37340,Whitsunday (R),2013,"8,435",-
37340,Whitsunday (R),2014,"8,765",-
37340,Whitsunday (R),2015,"8,920",-
37340,Whitsunday (R),2016,"8,741",4.3
37340,Whitsunday (R),2017,"8,947",-
37400,Winton (S),2011,-,4.9
37400,Winton (S),2013,400,-
37400,Winton (S),2014,403,-
37400,Winton (S),2015,401,-
37400,Winton (S),2016,250,4.7
37400,Winton (S),2017,399,-
37550,Woorabinda (S),2011,-,3.3
37550,Woorabinda (S),2013,20,-
37550,Woorabinda (S),2014,20,-
37550,Woorabinda (S),2015,22,-
37550,Woorabinda (S),2016,21,3.3
37550,Woorabinda (S),2017,30,-
37570,Wujal Wujal (S),2011,-,3.3
37570,Wujal Wujal (S),2016,-,6.0
37600,Yarrabah (S),2011,-,2.7
37600,Yarrabah (S),2013,34,-
37600,Yarrabah (S),2014,39,-
37600,Yarrabah (S),2015,36,-
37600,Yarrabah (S),2016,38,1.8
37600,Yarrabah (S),2017,35,-
39499,No usual address (Qld),2016,-,5.0
39799,Migratory - Offshore - Shipping (Qld),2016,-,4.7
40070,Adelaide (C),2011,-,3.2
40070,Adelaide (C),2013,"7,446",-
40070,Adelaide (C),2014,"7,688",-
40070,Adelaide (C),2015,"8,025",-
40070,Adelaide (C),2016,"9,321",2.9
40070,Adelaide (C),2017,"8,114",-
40120,Adelaide Hills (DC),2011,-,2.9
40120,Adelaide Hills (DC),2013,"17,185",-
40120,Adelaide Hills (DC),2014,"17,867",-
40120,Adelaide Hills (DC),2015,"18,376",-
40120,Adelaide Hills (DC),2016,"18,288",3.4
40120,Adelaide Hills (DC),2017,"18,418",-
40150,Adelaide Plains (DC),2011,-,5.1
40150,Adelaide Plains (DC),2013,"2,205",-
40150,Adelaide Plains (DC),2014,"2,374",-
40150,Adelaide Plains (DC),2015,"2,461",-
40150,Adelaide Plains (DC),2016,"2,566",5.1
40220,Alexandrina (DC),2011,-,5.9
40220,Alexandrina (DC),2013,"6,620",-
40220,Alexandrina (DC),2014,"7,264",-
40220,Alexandrina (DC),2015,"7,647",-
40220,Alexandrina (DC),2016,"7,829",6.7
40220,Alexandrina (DC),2017,"8,209",-
40250,Anangu Pitjantjatjara (AC),2011,-,4.8
40250,Anangu Pitjantjatjara (AC),2013,25,-
40250,Anangu Pitjantjatjara (AC),2014,27,-
40250,Anangu Pitjantjatjara (AC),2015,22,-
40250,Anangu Pitjantjatjara (AC),2016,32,4.3
40250,Anangu Pitjantjatjara (AC),2017,21,-
40310,Barossa (DC),2011,-,4.4
40310,Barossa (DC),2013,"7,817",-
40310,Barossa (DC),2014,"8,184",-
40310,Barossa (DC),2015,"8,384",-
40310,Barossa (DC),2016,"8,420",5.0
40310,Barossa (DC),2017,"8,860",-
40430,Barunga West (DC),2011,-,8.0
40430,Barunga West (DC),2013,691,-
40430,Barunga West (DC),2014,747,-
40430,Barunga West (DC),2015,748,-
40430,Barunga West (DC),2016,638,7.6
40430,Barunga West (DC),2017,736,-
40520,Berri and Barmera (DC),2011,-,7.0
40520,Berri and Barmera (DC),2013,"2,374",-
40520,Berri and Barmera (DC),2014,"2,490",-
40520,Berri and Barmera (DC),2015,"2,517",-
40520,Berri and Barmera (DC),2016,"2,648",8.0
40520,Berri and Barmera (DC),2017,"2,638",-
40700,Burnside (C),2011,-,4.0
40700,Burnside (C),2013,"22,477",-
40700,Burnside (C),2014,"23,251",-
40700,Burnside (C),2015,"23,967",-
40700,Burnside (C),2016,"24,631",4.0
40700,Burnside (C),2017,"24,557",-
40910,Campbelltown (C) (SA),2011,-,5.6
40910,Campbelltown (C) (SA),2013,"18,536",-
40910,Campbelltown (C) (SA),2014,"19,562",-
40910,Campbelltown (C) (SA),2015,"20,278",-
40910,Campbelltown (C) (SA),2016,"20,706",6.4
40910,Campbelltown (C) (SA),2017,"20,936",-
41010,Ceduna (DC),2011,-,4.2
41010,Ceduna (DC),2013,722,-
41010,Ceduna (DC),2014,781,-
41010,Ceduna (DC),2015,831,-
41010,Ceduna (DC),2016,827,2.8
41010,Ceduna (DC),2017,819,-
41060,Charles Sturt (C),2011,-,6.3
41060,Charles Sturt (C),2013,"35,995",-
41060,Charles Sturt (C),2014,"38,553",-
41060,Charles Sturt (C),2015,"40,670",-
41060,Charles Sturt (C),2016,"42,126",6.6
41060,Charles Sturt (C),2017,"43,372",-
41140,Clare and Gilbert Valleys (DC),2011,-,5.6
41140,Clare and Gilbert Valleys (DC),2013,"3,029",-
41140,Clare and Gilbert Valleys (DC),2014,"3,211",-
41140,Clare and Gilbert Valleys (DC),2015,"3,240",-
41140,Clare and Gilbert Valleys (DC),2016,"3,434",5.7
41140,Clare and Gilbert Valleys (DC),2017,"3,366",-
41190,Cleve (DC),2011,-,4.9
41190,Cleve (DC),2013,649,-
41190,Cleve (DC),2014,663,-
41190,Cleve (DC),2015,659,-
41190,Cleve (DC),2016,597,4.7
41190,Cleve (DC),2017,644,-
41330,Coober Pedy (DC),2011,-,5.2
41330,Coober Pedy (DC),2013,261,-
41330,Coober Pedy (DC),2014,284,-
41330,Coober Pedy (DC),2015,283,-
41330,Coober Pedy (DC),2016,270,5.5
41330,Coober Pedy (DC),2017,267,-
41560,Copper Coast (DC),2011,-,8.0
41560,Copper Coast (DC),2013,"3,247",-
41560,Copper Coast (DC),2014,"3,557",-
41560,Copper Coast (DC),2015,"3,777",-
41560,Copper Coast (DC),2016,"3,818",8.0
41560,Copper Coast (DC),2017,"3,916",-
41750,Elliston (DC),2011,-,4.5
41750,Elliston (DC),2013,290,-
41750,Elliston (DC),2014,293,-
41750,Elliston (DC),2015,287,-
41750,Elliston (DC),2016,242,6.0
41750,Elliston (DC),2017,295,-
41830,Flinders Ranges (DC),2011,-,6.2
41830,Flinders Ranges (DC),2013,509,-
41830,Flinders Ranges (DC),2014,530,-
41830,Flinders Ranges (DC),2015,515,-
41830,Flinders Ranges (DC),2016,474,5.8
41830,Flinders Ranges (DC),2017,487,-
41960,Franklin Harbour (DC),2011,-,4.4
41960,Franklin Harbour (DC),2013,396,-
41960,Franklin Harbour (DC),2014,410,-
41960,Franklin Harbour (DC),2015,444,-
41960,Franklin Harbour (DC),2016,417,5.7
41960,Franklin Harbour (DC),2017,434,-
42030,Gawler (T),2011,-,5.6
42030,Gawler (T),2013,"5,631",-
42030,Gawler (T),2014,"5,938",-
42030,Gawler (T),2015,"6,291",-
42030,Gawler (T),2016,"6,704",7.4
42030,Gawler (T),2017,"6,885",-
42110,Goyder (DC),2011,-,6.9
42110,Goyder (DC),2013,"1,027",-
42110,Goyder (DC),2014,"1,137",-
42110,Goyder (DC),2015,"1,131",-
42110,Goyder (DC),2016,"1,077",6.5
42110,Goyder (DC),2017,"1,158",-
42250,Grant (DC),2011,-,3.4
42250,Grant (DC),2013,"1,541",-
42250,Grant (DC),2014,"1,680",-
42250,Grant (DC),2015,"1,902",-
42250,Grant (DC),2016,"1,903",3.9
42250,Grant (DC),2017,"2,284",-
42600,Holdfast Bay (C),2011,-,6.0
42600,Holdfast Bay (C),2013,"15,691",-
42600,Holdfast Bay (C),2014,"16,365",-
42600,Holdfast Bay (C),2015,"16,960",-
42600,Holdfast Bay (C),2016,"17,371",6.1
42600,Holdfast Bay (C),2017,"17,463",-
42750,Kangaroo Island (DC),2011,-,4.4
42750,Kangaroo Island (DC),2013,911,-
42750,Kangaroo Island (DC),2014,969,-
42750,Kangaroo Island (DC),2015,"1,012",-
42750,Kangaroo Island (DC),2016,"1,009",5.2
42750,Kangaroo Island (DC),2017,"1,093",-
43080,Karoonda East Murray (DC),2011,-,3.5
43080,Karoonda East Murray (DC),2013,267,-
43080,Karoonda East Murray (DC),2014,293,-
43080,Karoonda East Murray (DC),2015,292,-
43080,Karoonda East Murray (DC),2016,243,7.1
43080,Karoonda East Murray (DC),2017,267,-
43220,Kimba (DC),2011,-,1.7
43220,Kimba (DC),2013,419,-
43220,Kimba (DC),2014,453,-
43220,Kimba (DC),2015,441,-
43220,Kimba (DC),2016,385,3.1
43220,Kimba (DC),2017,453,-
43360,Kingston (DC) (SA),2011,-,5.1
43360,Kingston (DC) (SA),2013,631,-
43360,Kingston (DC) (SA),2014,664,-
43360,Kingston (DC) (SA),2015,694,-
43360,Kingston (DC) (SA),2016,708,5.2
43360,Kingston (DC) (SA),2017,747,-
43650,Light (RegC),2011,-,4.1
43650,Light (RegC),2013,"4,420",-
43650,Light (RegC),2014,"4,713",-
43650,Light (RegC),2015,"4,895",-
43650,Light (RegC),2016,"4,913",4.2
43650,Light (RegC),2017,"5,203",-
43710,Lower Eyre Peninsula (DC),2011,-,3.1
43710,Lower Eyre Peninsula (DC),2013,"1,282",-
43710,Lower Eyre Peninsula (DC),2014,"1,410",-
43710,Lower Eyre Peninsula (DC),2015,"1,531",-
43710,Lower Eyre Peninsula (DC),2016,"1,544",3.2
43710,Lower Eyre Peninsula (DC),2017,"1,712",-
43790,Loxton Waikerie (DC),2011,-,6.2
43790,Loxton Waikerie (DC),2013,"2,745",-
43790,Loxton Waikerie (DC),2014,"2,950",-
43790,Loxton Waikerie (DC),2015,"3,067",-
43790,Loxton Waikerie (DC),2016,"3,023",6.8
43790,Loxton Waikerie (DC),2017,"3,123",-
44000,Maralinga Tjarutja (AC),2011,-,5.5
44060,Marion (C),2011,-,5.5
44060,Marion (C),2013,"29,344",-
44060,Marion (C),2014,"31,267",-
44060,Marion (C),2015,"32,594",-
44060,Marion (C),2016,"33,369",6.2
44060,Marion (C),2017,"34,022",-
44210,Mid Murray (DC),2011,-,6.3
44210,Mid Murray (DC),2013,"1,725",-
44210,Mid Murray (DC),2014,"1,862",-
44210,Mid Murray (DC),2015,"1,961",-
44210,Mid Murray (DC),2016,"1,908",7.0
44210,Mid Murray (DC),2017,"2,044",-
44340,Mitcham (C),2011,-,4.1
44340,Mitcham (C),2013,"28,821",-
44340,Mitcham (C),2014,"30,144",-
44340,Mitcham (C),2015,"30,938",-
44340,Mitcham (C),2016,"31,080",4.8
44340,Mitcham (C),2017,"31,385",-
44550,Mount Barker (DC),2011,-,4.2
44550,Mount Barker (DC),2013,"10,371",-
44550,Mount Barker (DC),2014,"11,388",-
44550,Mount Barker (DC),2015,"12,046",-
44550,Mount Barker (DC),2016,"12,395",4.6
44550,Mount Barker (DC),2017,"12,935",-
44620,Mount Gambier (C),2011,-,5.6
44620,Mount Gambier (C),2013,"7,206",-
44620,Mount Gambier (C),2014,"7,551",-
44620,Mount Gambier (C),2015,"7,694",-
44620,Mount Gambier (C),2016,"7,924",6.5
44620,Mount Gambier (C),2017,"7,489",-
44830,Mount Remarkable (DC),2011,-,6.4
44830,Mount Remarkable (DC),2013,713,-
44830,Mount Remarkable (DC),2014,759,-
44830,Mount Remarkable (DC),2015,803,-
44830,Mount Remarkable (DC),2016,779,6.6
44830,Mount Remarkable (DC),2017,878,-
45040,Murray Bridge (RC),2011,-,6.0
45040,Murray Bridge (RC),2013,"3,677",-
45040,Murray Bridge (RC),2014,"3,947",-
45040,Murray Bridge (RC),2015,"4,148",-
45040,Murray Bridge (RC),2016,"4,080",6.6
