Name	Native	Status	Population
Ban Bueng	อำเภอบ้านบึง	District	85,868	100,381
Bang Lamung	อำเภอบางละมุง	District	166,305	335,415
Bo Thong	อำเภอบ่อทอง	District	40,928	44,177
Ko Chan	อำเภอเกาะจันทร์	District	34,671	34,105
Ko Sichang	อำเภอเกาะสีชัง	District	4,417	3,113
Mueang Chonburi	อำเภอเมืองชลบุรี	District	245,398	352,301
Nong Yai	อำเภอหนองใหญ่	District	20,757	22,066
Phanat Nikhom	อำเภอพนัสนิคม	District	113,830	119,749
Phan Thong	อำเภอพานทอง	District	44,859	70,423
Sattahip	อำเภอสัตหีบ	District	115,936	140,643
Si Racha	อำเภอศรีราชา	District	167,896	332,984
Chumphon	จังหวัดชุมพร	Province	446,206	467,801
Lamae	อำเภอละแม	District	24,934	27,758
Lang Suan	อำเภอหลังสวน	District	68,233	63,190
Mueang Chumphon	อำเภอเมืองชุมพร	District	139,261	137,303
Pathio	อำเภอปะทิว	District	41,806	49,911
Phato	อำเภอพะโต๊ะ	District	20,061	21,769
Sawi	อำเภอสวี	District	64,650	63,650
Tha Sae	อำเภอท่าแซะ	District	65,212	80,948
Thung Tako	อำเภอทุ่งตะโก	District	22,049	23,271
Kalasin	จังหวัดกาฬสินธุ์	Province	921,366	824,538
Don Chan	อำเภอดอนจาน	District	23,092	20,676
Huai Mek	อำเภอห้วยเม็ก	District	45,901	44,022
Huai Phueng	อำเภอห้วยผึ้ง	District	29,174	26,711
Kamalasai	อำเภอกมลาไสย	District	65,834	59,381
Kham Muang	อำเภอคำม่วง	District	43,959	40,793
Khao Wong	อำเภอเขาวง	District	34,357	30,898
Khong Chai	อำเภอฆ้องชัย	District	24,860	23,731
Kuchinarai	อำเภอกุฉินารายณ์	District	100,656	90,091
Mueang Kalasin	อำเภอเมืองกาฬสินธุ์	District	137,687	127,635
Na Khu	อำเภอนาคู	District	30,104	26,199
Na Mon	อำเภอนามน	District	34,581	27,783
Nong Kung Si	อำเภอหนองกุงศรี	District	60,728	52,296
Rong Kham	อำเภอร่องคำ	District	15,011	14,470
Sahatsakhan	อำเภอสหัสขันธ์	District	38,961	31,916
Sam Chai	อำเภอสามชัย	District	22,956	21,773
Somdet	อำเภอสมเด็จ	District	56,954	51,125
Tha Khantho	อำเภอท่าคันโท	District	34,322	29,857
Yang Talat	อำเภอยางตลาด	District	122,229	105,177
Kamphaeng Phet	จังหวัดกำแพงเพชร	Province	674,027	797,391
Bueng Samakkhi	อำเภอบึงสามัคคี	District	22,292	26,786
Khanu Woralaksaburi	อำเภอขาณุวรลักษบุรี	District	98,091	107,743
Khlong Khlung	อำเภอคลองขลุง	District	74,510	78,733
Khlong Lan	อำเภอคลองลาน	District	55,173	64,567
Kosamphi Nakhon	อำเภอโกสัมพีนคร	District	24,505	30,680
Lan Krabue	อำเภอลานกระบือ	District	35,611	47,952
Mueang Kamphaeng Phet	อำเภอเมืองกำแพงเพชร	District	206,271	240,370
Pang Sila Thong	อำเภอปางศิลาทอง	District	28,424	32,185
Phran Kratai	อำเภอพรานกระต่าย	District	59,941	90,539
Sai Ngam	อำเภอไทรงาม	District	45,333	52,958
Sai Thong Watthana	อำเภอทรายทองวัฒนา	District	23,876	24,877
Kanchanaburi	จังหวัดกาญจนบุรี	Province	734,394	801,519
Bo Phloi	อำเภอบ่อพลอย	District	49,998	51,181
Dan Makham Tia	อำเภอด่านมะขามเตี้ย	District	29,304	28,722
Huai Krachao	อำเภอห้วยกระเจา	District	29,847	31,363
Lao Khwan	อำเภอเลาขวัญ	District	50,089	51,698
Mueang Kanchanaburi	อำเภอเมืองกาญจนบุรี	District	148,266	169,316
Nong Prue	อำเภอหนองปรือ	District	25,748	29,171
Phanom Thuan	อำเภอพนมทวน	District	49,926	53,772
Sai Yok	อำเภอไทรโยค	District	39,988	47,206
Sangkhla Buri	อำเภอสังขละบุรี	District	29,057	31,081
Si Sawat	อำเภอศรีสวัสดิ์	District	19,969	22,576
Tha Maka	อำเภอท่ามะกา	District	125,393	138,582
Tha Muang	อำเภอท่าม่วง	District	96,304	102,862
Thong Pha Phum	อำเภอทองผาภูมิ	District	40,505	43,989
Khon Kaen	จังหวัดขอนแก่น	Province	1,733,434	1,741,980
Ban Fang	อำเภอบ้านฝาง	District	52,824	45,142
Ban Haet	อำเภอบ้านแฮด	District	31,677	26,215
Ban Phai	อำเภอบ้านไผ่	District	103,281	92,671
Chonnabot	อำเภอชนบท	District	50,126	43,828
Chum Phae	อำเภอชุมแพ	District	125,078	113,319
Khao Suan Kwang	อำเภอเขาสวนกวาง	District	36,410	32,701
Khok Pho Chai	อำเภอโคกโพธิ์ไชย	District	25,890	18,662
Kranuan	อำเภอกระนวน	District	76,082	63,105
Mancha Khiri	อำเภอมัญจาคีรี	District	74,306	65,027
Mueang Khon Kaen	อำเภอเมืองขอนแก่น	District	359,065	510,763
Nam Phong	อำเภอน้ำพอง	District	110,978	100,311
Nong Na Kham	อำเภอหนองนาคำ	District	23,085	22,195
Nong Ruea	อำเภอหนองเรือ	District	91,126	85,044
Nong Song Hong	อำเภอหนองสองห้อง	District	77,594	73,728
Non Sila	อำเภอโนนศิลา	District	25,758	23,569
Phon	อำเภอพล	District	88,994	85,203
Phra Yuen	อำเภอพระยืน	District	34,112	29,626
Phu Pha Man	อำเภอภูผาม่าน	District	21,689	22,022
Phu Wiang	อำเภอภูเวียง	District	...	65,529
Pueai Noi	อำเภอเปือยน้อย	District	19,827	15,195
Sam Sung	อำเภอซำสูง	District	23,574	21,370
