Name	Native	Status	Population
Khwao Sinarin	อำเภอเขวาสินรินทร์	District	34,565	28,221
Lamduan	อำเภอลำดวน	District	28,439	25,337
Mueang Surin	อำเภอเมืองสุรินทร์	District	244,589	231,945
Non Narai	อำเภอโนนนารายณ์	District	34,141	27,617
Phanom Dong Rak	อำเภอพนมดงรัก	District	34,169	29,255
Prasat	อำเภอปราสาท	District	148,395	123,791
Rattanaburi	อำเภอรัตนบุรี	District	90,750	72,237
Samrong Thap	อำเภอสำโรงทาบ	District	52,222	41,296
Sangkha	อำเภอสังขะ	District	118,176	102,940
Sanom	อำเภอสนม	District	44,177	33,881
Sikhoraphum	อำเภอศีขรภูมิ	District	136,732	106,302
Si Narong	อำเภอศรีณรงค์	District	42,761	35,873
Tha Tum	อำเภอท่าตูม	District	95,425	78,259
Tak	จังหวัดตาก	Province	486,146	526,382
Ban Tak	อำเภอบ้านตาก	District	47,427	46,255
Mae Ramat	อำเภอแม่ระมาด	District	44,798	48,209
Mae Sot	อำเภอแม่สอด	District	106,413	121,062
Mueang Tak	อำเภอเมืองตาก	District	99,211	100,533
Phop Phra	อำเภอพบพระ	District	46,531	60,046
Sam Ngao	อำเภอสามเงา	District	34,607	32,871
Tha Song Yang	อำเภอท่าสองยาง	District	58,437	59,624
Umphang	อำเภออุ้มผาง	District	22,131	27,192
Wang Chao	อำเภอวังเจ้า	District	26,591	30,589
Trang	จังหวัดตรัง	Province	595,110	598,877
Hat Samran	อำเภอหาดสำราญ	District	14,477	14,581
Huai Yot	อำเภอห้วยยอด	District	90,930	82,795
Kantang	อำเภอกันตัง	District	79,597	83,685
Mueang Trang	อำเภอเมืองตรัง	District	147,911	148,500
Na Yong	อำเภอนาโยง	District	42,429	42,531
Palian	อำเภอปะเหลียน	District	62,063	63,899
Ratsada	อำเภอรัษฎา	District	26,118	25,857
Sikao	อำเภอสิเกา	District	31,383	38,055
Wang Wiset	อำเภอวังวิเศษ	District	36,384	40,838
Yan Ta Khao	อำเภอย่านตาขาว	District	63,818	58,135
Trat	จังหวัดตราด	Province	219,345	247,876
Bo Rai	อำเภอบ่อไร่	District	39,736	37,157
Khao Saming	อำเภอเขาสมิง	District	40,499	38,941
Khlong Yai	อำเภอคลองใหญ่	District	25,134	38,099
Ko Chang	อำเภอเกาะช้าง	District	4,399	12,346
Ko Kut	อำเภอเกาะกูด	District	2,042	2,894
Laem Ngop	อำเภอแหลมงอบ	District	17,874	17,198
Mueang Trat	อำเภอเมืองตราด	District	89,661	101,241
Ubon Ratchathani	จังหวัดอุบลราชธานี	Province	1,691,441	1,746,790
Buntharik	อำเภอบุณฑริก	District	82,588	85,208
Det Udom	อำเภอเดชอุดม	District	157,253	152,723
Don Mot Daeng	อำเภอดอนมดแดง	District	25,372	24,898
Khemarat	อำเภอเขมราฐ	District	72,020	69,330
Khong Chiam	อำเภอโขงเจียม	District	29,223	30,983
Khueang Nai	อำเภอเขื่องใน	District	105,202	98,584
Kut Khaopun	อำเภอกุดข้าวปุ้น	District	39,284	41,044
Lao Suea Kok	อำเภอเหล่าเสือโก้ก	District	24,012	25,062
Muang Sam Sip	อำเภอม่วงสามสิบ	District	78,802	82,071
Mueang Ubon Ratchathani	อำเภอเมืองอุบลราชธานี	District	214,743	243,154
Na Chaluai	อำเภอนาจะหลวย	District	50,909	51,940
Nam Khun	อำเภอน้ำขุ่น	District	28,078	30,327
Nam Yuen	อำเภอน้ำยืน	District	63,614	61,835
Na Tan	อำเภอนาตาล	District	33,384	34,808
Na Yia	อำเภอนาเยีย	District	22,961	22,813
Phibun Mangsahan	อำเภอพิบูลมังสาหาร	District	126,275	120,296
Pho Sai	อำเภอโพธิ์ไทร	District	38,947	40,803
Samrong	อำเภอสำโรง	District	49,764	51,784
Sawang Wirawong	อำเภอสว่างวีระวงศ์	District	28,462	26,035
Si Mueang Mai	อำเภอศรีเมืองใหม่	District	60,255	63,956
Sirindhorn	อำเภอสิรินธร	District	42,151	48,825
Tan Sum	อำเภอตาลสุม	District	30,099	31,097
Thung Si Udom	อำเภอทุ่งศรีอุดม	District	25,502	24,379
Trakan Phuet Phon	อำเภอตระการพืชผล	District	115,144	118,498
Warin Chamrap	อำเภอวารินชำราบ	District	147,397	166,340
Udon Thani	จังหวัดอุดรธานี	Province	1,467,158	1,288,365
Ban Dung	อำเภอบ้านดุง	District	114,689	99,759
Ban Phue	อำเภอบ้านผือ	District	102,977	89,610
Chai Wan	อำเภอไชยวาน	District	35,979	31,290
Ku Kaeo	อำเภอกู่แก้ว	District	21,321	18,614
Kumphawapi	อำเภอกุมภวาปี	District	124,136	100,109
Kut Chap	อำเภอกุดจับ	District	60,202	55,424
Mueang Udon Thani	อำเภอเมืองอุดรธานี	District	379,851	347,497
Nam Som	อำเภอน้ำโสม	District	53,253	46,692
Na Yung	อำเภอนายูง	District	23,932	23,115
Nong Han	อำเภอหนองหาน	District	112,815	91,404
Nong Saeng	อำเภอหนองแสง	District	25,558	21,902
Nong Wua So	อำเภอหนองวัวซอ	District	60,166	49,990
Non Sa-at	อำเภอโนนสะอาด	District	46,980	40,095
Phen	อำเภอเพ็ญ	District	103,535	94,888
Phibun Rak	อำเภอพิบูลย์รักษ์	District	23,063	19,347
Prachaksinlapakhom	อำเภอประจักษ์ศิลปาคม	District	23,623	19,940
Sang Khom	อำเภอสร้างคอม	District	27,433	23,227
Si That	อำเภอศรีธาตุ	District	45,516	42,713
Thung Fon	อำเภอทุ่งฝน	District	29,917	25,724
Wang Sam Mo	อำเภอวังสามหมอ	District	52,212	47,025
Uthai Thani	จังหวัดอุทัยธานี	Province	304,122	297,493
Ban Rai	อำเภอบ้านไร่	District	59,105	62,961
Huai Khot	อำเภอห้วยคต	District	17,256	18,024
Lan Sak	อำเภอลานสัก	District	53,611	50,571
Mueang Uthai Thani	อำเภอเมืองอุทัยธานี	District	50,008	48,909
Nong Chang	อำเภอหนองฉาง	District	43,889	40,294
Nong Khayang	อำเภอหนองขาหย่าง	District	15,712	13,852
Sawang Arom	อำเภอสว่างอารมณ์	District	28,645	27,626
Thap Than	อำเภอทัพทัน	District	35,896	35,256
Uttaradit	จังหวัดอุตรดิตถ	Province	464,474	438,578
Ban Khok	อำเภอบ้านโคก	District	14,759	13,403
Fak Tha	อำเภอฟากท่า	District	15,059	14,267
Laplae	อำเภอลับแล	District	57,283	53,492
Mueang Uttaradit	อำเภอเมืองอุตรดิตถ์	District	153,611	148,203
Nam Pat	อำเภอน้ำปาด	District	31,702	31,347
Phichai	อำเภอพิชัย	District	76,529	72,782
Tha Pla	อำเภอท่าปลา	District	47,058	43,030
Thong Saen Khan	อำเภอทองแสนขัน	District	32,721	28,797
Tron	อำเภอตรอน	District	35,752	33,257
Yala	จังหวัดยะลา	Province	415,537	433,167
Bannang Sata	อำเภอบันนังสตา	District	44,448	44,660
Betong	อำเภอเบตง	District	50,477	46,578
Kabang	อำเภอกาบัง	District	12,851	20,009
Krong Pinang	อำเภอกรงปินัง	District	18,308	24,487
Mueang Yala	อำเภอเมืองยะลา	District	154,634	145,319
Raman	อำเภอรามัน	District	73,408	80,927
Than To	อำเภอธารโต	District	17,716	18,552
Yaha	อำเภอยะหา	District	43,695	52,636
Yasothon	จังหวัดยโสธร	Province	561,430	487,976
Kham Khuean Kaeo	อำเภอคำเขื่อนแก้ว	District	77,420	57,881
Kho Wang	อำเภอค้อวัง	District	27,604	22,418
Kut Chum	อำเภอกุดชุม	District	68,023	55,933
Loeng Nok Tha	อำเภอเลิงนกทา	District	95,408	88,118
Maha Chana Chai	อำเภอมหาชนะชัย	District	60,540	49,182
Mueang Yasothon	อำเภอเมืองยโสธร	District	133,910	130,313
Pa Tio	อำเภอป่าติ้ว	District	36,326	31,773
Sai Mun	อำเภอทรายมูล	District	32,917	24,785
Thai Charoen	อำเภอไทยเจริญ	District	29,282	27,572
Prathet Thai [Thailand]	ประเทศไทย	Kingdom	60,916,441	65,981,659
