国コード	第二行政区画コード	日本語表記	英語表記
JP	01547	小清水町	koshimizu-cho
JP	01549	訓子府町	kunneppu-cho
JP	01550	置戸町	oketo-cho
JP	01552	佐呂間町	saroma-cho
JP	01555	遠軽町	engaru-cho
JP	01558	上湧別町	kamiyubetsu-cho
JP	01559	湧別町	yubetsu-cho
JP	01560	滝上町	takinoe-cho
JP	01561	興部町	okoppe-cho
JP	01562	西興部村	nishiokoppe-mura
JP	01563	雄武町	omu-cho
JP	01564	大空町	ozora-cho
JP	01571	豊浦町	toyora-cho
JP	01575	壮瞥町	sobetsu-cho
JP	01578	白老町	shiraoi-cho
JP	01581	厚真町	atsuma-cho
JP	01584	洞爺湖町	toyako-cho
JP	01585	安平町	abira-cho
JP	01586	むかわ町	mukawa-cho
JP	01601	日高町	hidaka-cho
JP	01602	平取町	biratori-cho
JP	01604	新冠町	niikappu-cho
JP	01607	浦河町	urakawa-cho
JP	01608	様似町	samani-cho
JP	01609	えりも町	erimo-cho
JP	01610	新ひだか町	shinhidaka-cho
JP	01631	音更町	otofuke-cho
JP	01632	士幌町	shihoro-cho
JP	01633	上士幌町	kamishihoro-cho
JP	01634	鹿追町	shikaoi-cho
JP	01635	新得町	shintoku-cho
JP	01636	清水町	shimizu-cho
JP	01637	芽室町	memuro-cho
JP	01638	中札内村	nakasatsunai-mura
JP	01639	更別村	sarabetsu-mura
JP	01641	大樹町	taiki-cho
JP	01642	広尾町	hiro-cho
JP	01643	幕別町	makubetsu-cho
JP	01644	池田町	ikeda-cho
JP	01645	豊頃町	toyokoro-cho
JP	01646	本別町	honbetsu-cho
JP	01647	足寄町	ashoro-cho
JP	01648	陸別町	rikubetsu-cho
JP	01649	浦幌町	urahoro-cho
JP	01661	釧路町	kushiro-cho
JP	01662	厚岸町	akkeshi-cho
JP	01663	浜中町	hamanaka-cho
JP	01664	標茶町	shibechya-cho
JP	01665	弟子屈町	teshikaga-cho
JP	01667	鶴居村	tsurui-mura
JP	01668	白糠町	shiranuka-cho
JP	01691	別海町	betsukai-cho
JP	01692	中標津町	nakashibetsu-cho
JP	01693	標津町	shibetsu-cho
JP	01694	羅臼町	rausu-cho
JP	02000	青森
JP	02201	青森市	aomori-shi
JP	02202	弘前市	hirosaki-shi
JP	02203	八戸市	hachinohe-shi
JP	02204	黒石市	kuroishi-shi
JP	02205	五所川原市	goshogawara-shi
JP	02206	十和田市	towada-shi
JP	02207	三沢市	misawa-shi
JP	02208	むつ市	mutsu-shi
JP	02209	つがる市	tsugaru-shi
JP	02210	平川市	hirakawa-shi
JP	02301	平内町	hiranai-machi
JP	02303	今別町	imabetsu-machi
JP	02304	蓬田村	yomogita-mura
JP	02307	外ヶ浜町	sotogahama-machi
JP	02321	鰺ヶ沢町	ajigasawa-machi
JP	02323	深浦町	fukaura-machi
JP	02343	西目屋村	nishimeya-mura
JP	02361	藤崎町	fujisaki-machi
JP	02362	大鰐町	owani-machi
JP	02367	田舎館村	inakadate-mura
JP	02381	板柳町	itayanagi-machi
JP	02384	鶴田町	tsuruta-machi
JP	02387	中泊町	nakadomari-machi
JP	02401	野辺地町	noheji-machi
JP	02402	七戸町	shichinohe-machi
JP	02405	六戸町	rokunohe-machi
JP	02406	横浜町	yokohama-machi
