国コード	第二行政区画コード	日本語表記	英語表記
JP	28215	三木市	miki-shi
JP	28216	高砂市	takasago-shi
JP	28217	川西市	kawanishi-shi
JP	28218	小野市	ono-shi
JP	28219	三田市	sanda-shi
JP	28220	加西市	kasai-shi
JP	28221	篠山市	sasayama-shi
JP	28222	養父市	yabu-shi
JP	28223	丹波市	tanba-shi
JP	28224	南あわじ市	minamiawaji-shi
JP	28225	朝来市	asago-shi
JP	28226	淡路市	awaji-shi
JP	28227	宍粟市	shiso-shi
JP	28228	加東市	kato-shi
JP	28229	たつの市	tatsuno-shi
JP	28301	猪名川町	inagawa-cho
JP	28365	多可町	taka-cho
JP	28381	稲美町	inami-cho
JP	28382	播磨町	harima-cho
JP	28442	市川町	ichikawa-cho
JP	28443	福崎町	fukusaki-cho
JP	28446	神河町	kamikawa-cho
JP	28464	太子町	taishi-cho
JP	28481	上郡町	kamigori-cho
JP	28501	佐用町	sayo-cho
JP	28585	香美町	kami-cho
JP	28586	新温泉町	shinonsen-cho
JP	29000	奈良
JP	29201	奈良市	nara-shi
JP	29202	大和高田市	yamatotakada-shi
JP	29203	大和郡山市	yamatokoriyama-shi
JP	29204	天理市	tenri-shi
JP	29205	橿原市	kashihara-shi
JP	29206	桜井市	sakurai-shi
JP	29207	五條市	gojo-shi
JP	29208	御所市	gose-shi
JP	29209	生駒市	ikoma-shi
JP	29210	香芝市	kashiba-shi
JP	29211	葛城市	katsuragi-shi
JP	29212	宇陀市	uda-shi
JP	29322	山添村	yamazoe-mura
JP	29342	平群町	heguri-cho
JP	29343	三郷町	sango-cho
JP	29344	斑鳩町	ikaruga-cho
JP	29345	安堵町	ando-cho
JP	29361	川西町	kawanishi-cho
JP	29362	三宅町	miyake-cho
JP	29363	田原本町	tawaramoto-cho
JP	29385	曽爾村	soni-mura
JP	29386	御杖村	mitsue-mura
JP	29401	高取町	takatori-cho
JP	29402	明日香村	asuka-mura
JP	29424	上牧町	kanmaki-cho
JP	29425	王寺町	oji-cho
JP	29426	広陵町	koryo-cho
JP	29427	河合町	kawai-cho
JP	29441	吉野町	yoshino-cho
JP	29442	大淀町	oyodo-cho
JP	29443	下市町	shimoichi-cho
JP	29444	黒滝村	kurotaki-mura
JP	29446	天川村	tenkawa-mura
JP	29447	野迫川村	nosegawa-mura
JP	29449	十津川村	totsukawa-mura
JP	29450	下北山村	shimokitayama-mura
JP	29451	上北山村	kamikitayama-mura
JP	29452	川上村	kawakami-mura
JP	29453	東吉野村	higashiyoshino-mura
JP	30000	和歌山
JP	30201	和歌山市	wakayama-shi
JP	30202	海南市	kainan-shi
JP	30203	橋本市	hashimoto-shi
JP	30204	有田市	arida-shi
JP	30205	御坊市	gobo-shi
JP	30206	田辺市	tanabe-shi
JP	30207	新宮市	shingu-shi
JP	30208	紀の川市	kinokawa-shi
JP	30209	岩出市	iwade-shi
JP	30304	紀美野町	kimino-cho
JP	30341	かつらぎ町	katsuragi-cho
JP	30343	九度山町	kudoyama-cho
JP	30344	高野町	koya-cho
JP	30361	湯浅町	yuasa-cho
JP	30362	広川町	hirogawa-cho
JP	30366	有田川町	aridagawa-cho
JP	30381	美浜町	mihama-cho
JP	30382	日高町	hidaka-cho
JP	30383	由良町	yura-cho
JP	30390	印南町	inami-cho
JP	30391	みなべ町	minabe-cho
JP	30392	日高川町	hidakagawa-cho
JP	30401	白浜町	shirahama-cho
JP	30404	上富田町	kamitonda-cho
JP	30406	すさみ町	susami-cho
JP	30421	那智勝浦町	nachikatsura-cho
JP	30422	太地町	taiji-cho
JP	30424	古座川町	kozagawa-cho
JP	30427	北山村	kitayama-mura
JP	30428	串本町	kushimoto-cho
JP	31000	鳥取
JP	31201	鳥取市	tottori-shi
JP	31202	米子市	yonago-shi
JP	31203	倉吉市	kurayoshi-shi
JP	31204	境港市	sakaiminato-shi
JP	31302	岩美町	iwami-cho
JP	31325	若桜町	wakasa-cho
JP	31328	智頭町	chidhu-cho
JP	31329	八頭町	yazu-cho
JP	31364	三朝町	misasa-cho
JP	31370	湯梨浜町	yurihama-cho
JP	31371	琴浦町	kotora-cho
JP	31372	北栄町	hokuei-cho
JP	31384	日吉津村	hiedhu-son
JP	31386	大山町	daisen-cho
JP	31389	南部町	nanbu-cho
JP	31390	伯耆町	hoki-cho
JP	31401	日南町	nichinan-cho
JP	31402	日野町	hino-cho
JP	31403	江府町	kofu-cho
JP	32000	島根
JP	32201	松江市	matsue-shi
JP	32202	浜田市	hamada-shi
JP	32203	出雲市	izumo-shi
JP	32204	益田市	masuda-shi
JP	32205	大田市	oda-shi
JP	32206	安来市	yasugi-shi
JP	32207	江津市	gotsu-shi
JP	32209	雲南市	unnan-shi
JP	32304	東出雲町	higashiizumo-cho
JP	32343	奥出雲町	okuizumo-cho
JP	32386	飯南町	iinan-cho
JP	32401	斐川町	hikawa-cho
JP	32441	川本町	kawamoto-machi
JP	32448	美郷町	misato-cho
JP	32449	邑南町	onan-cho
JP	32501	津和野町	tsuwano-cho
JP	32505	吉賀町	yoshika-cho
JP	32525	海士町	ama-cho
JP	32526	西ノ島町	nishinoshima-cho
JP	32527	知夫村	chibu-mura
JP	32528	隠岐の島町	okinoshima-cho
JP	33000	岡山
JP	33100	岡山市	okayama-shi
JP	33101	岡山市北区	okayama-shi kita-ku
JP	33102	岡山市中区	okayama-shi naka-ku
JP	33103	岡山市東区	okayama-shi higashi-ku
JP	33104	岡山市南区	okayama-shi minami-ku
JP	33201	岡山市	okayama-shi
JP	33202	倉敷市	kurashiki-shi
JP	33203	津山市	tsuyama-shi
JP	33204	玉野市	tamano-shi
JP	33205	笠岡市	kasaoka-shi
JP	33207	井原市	ibara-shi
JP	33208	総社市	soja-shi
JP	33209	高梁市	takahashi-shi
JP	33210	新見市	niimi-shi
JP	33211	備前市	bizen-shi
JP	33212	瀬戸内市	setochi-shi
JP	33213	赤磐市	akaiwa-shi
JP	33214	真庭市	maniwa-shi
JP	33215	美作市	mimasaka-shi
JP	33216	浅口市	asakuchi-shi
JP	33346	和気町	wake-cho
JP	33423	早島町	hayashima-cho
JP	33445	里庄町	satosho-cho
JP	33461	矢掛町	yakage-cho
JP	33586	新庄村	shinjo-son
JP	33606	鏡野町	kagamino-cho
JP	33622	勝央町	shoo-cho
JP	33623	奈義町	nagi-cho
JP	33643	西粟倉村	nishiawakura-son
JP	33663	久米南町	kumenan-cho
JP	33666	美咲町	misaki-cho
JP	33681	吉備中央町	kibichuo-cho
JP	34000	広島
JP	34100	広島市	hiroshima-shi
JP	34101	広島市中区	hiroshima-shi naka-ku
JP	34102	広島市東区	hiroshima-shi higashi-ku
JP	34103	広島市南区	hiroshima-shi minami-ku
JP	34104	広島市西区	hiroshima-shi nishi-ku
JP	34105	広島市安佐南区	hiroshima-shi asaminami-ku
JP	34106	広島市安佐北区	hiroshima-shi asakita-ku
JP	34107	広島市安芸区	hiroshima-shi aki-ku
JP	34108	広島市佐伯区	hiroshima-shi saeki-ku
JP	34202	呉市	kure-shi
JP	34203	竹原市	takehara-shi
JP	34204	三原市	mihara-shi
JP	34205	尾道市	onomichi-shi
JP	34207	福山市	fukuyama-shi
JP	34208	府中市	fuchyu-shi
JP	34209	三次市	miyoshi-shi
JP	34210	庄原市	shobara-shi
JP	34211	大竹市	otake-shi
JP	34212	東広島市	higashihiroshima-shi
JP	34213	廿日市市	hatsukaichi-shi
JP	34214	安芸高田市	akitakata-shi
JP	34215	江田島市	etajima-shi
JP	34302	府中町	fuchyu-cho
JP	34304	海田町	kaita-cho
JP	34307	熊野町	kumano-cho
JP	34309	坂町	saka-cho
JP	34368	安芸太田町	akiota-cho
JP	34369	北広島町	kitahiroshima-cho
JP	34431	大崎上島町	osakikamijima-cho
JP	34462	世羅町	sera-cho
JP	34545	神石高原町	jinsekikogen-cho
JP	35000	山口
JP	35201	下関市	shimonoseki-shi
JP	35202	宇部市	ube-shi
JP	35203	山口市	yamaguchi-shi
JP	35204	萩市	hagi-shi
JP	35206	防府市	hofu-shi
JP	35207	下松市	kudamatsu-shi
JP	35208	岩国市	iwakuni-shi
JP	35210	光市	hikari-shi
JP	35211	長門市	nagato-shi
JP	35212	柳井市	yanai-shi
JP	35213	美祢市	mine-shi
JP	35215	周南市	shunan-shi
JP	35216	山陽小野田市	sanyoonoda-shi
JP	35305	周防大島町	suooshima-cho
JP	35321	和木町	waki-cho
JP	35341	上関町	kaminoseki-cho
JP	35343	田布施町	tabuse-cho
JP	35344	平生町	hirao-cho
JP	35502	阿武町	abu-cho
JP	35504	阿東町	ato-cho
JP	36000	徳島
JP	36201	徳島市	tokushima-shi
JP	36202	鳴門市	naruto-shi
JP	36203	小松島市	komatsushima-shi
JP	36204	阿南市	anan-shi
JP	36205	吉野川市	yoshinogawa-shi
JP	36206	阿波市	awa-shi
JP	36207	美馬市	mima-shi
JP	36208	三好市	miyoshi-shi
JP	36301	勝浦町	katsura-cho
JP	36302	上勝町	kamikatsu-cho
JP	36321	佐那河内村	sanagochi-son
JP	36341	石井町	ishii-cho
JP	36342	神山町	kamiyama-cho
JP	36368	那賀町	naka-cho
JP	36383	牟岐町	mugi-cho
JP	36387	美波町	minami-cho
JP	36388	海陽町	kaiyo-cho
JP	36401	松茂町	matsushige-cho
JP	36402	北島町	kitajima-cho
JP	36403	藍住町	aizumi-cho
JP	36404	板野町	itano-cho
JP	36405	上板町	kamiita-cho
JP	36468	つるぎ町	tsurugi-cho
JP	36489	東みよし町	higashimiyoshi-cho
JP	37000	香川
JP	37201	高松市	takamatsu-shi
JP	37202	丸亀市	marugame-shi
JP	37203	坂出市	sakaide-shi
JP	37204	善通寺市	zentsuji-shi
JP	37205	観音寺市	kanonji-shi
JP	37206	さぬき市	sanuki-shi
JP	37207	東かがわ市	higashikagawa-shi
JP	37208	三豊市	mitoyo-shi
JP	37322	土庄町	tonosho-cho
JP	37324	小豆島町	shodoshima-cho
JP	37341	三木町	miki-cho
JP	37364	直島町	naoshima-cho
JP	37386	宇多津町	utadhu-cho
JP	37387	綾川町	ayagawa-cho
JP	37403	琴平町	kotohira-cho
JP	37404	多度津町	tadotsu-cho
JP	37406	まんのう町	manno-cho
JP	38000	愛媛
JP	38201	松山市	matsuyama-shi
JP	38202	今治市	imabari-shi
JP	38203	宇和島市	uwajima-shi
JP	38204	八幡浜市	yawatahama-shi
JP	38205	新居浜市	niihama-shi
JP	38206	西条市	saijo-shi
JP	38207	大洲市	ozu-shi
JP	38210	伊予市	iyo-shi
JP	38213	四国中央市	shikokuchuo-shi
JP	38214	西予市	seiyo-shi
JP	38215	東温市	toon-shi
JP	38356	上島町	kamijima-cho
JP	38386	久万高原町	kumakogen-cho
JP	38401	松前町	masaki-cho
JP	38402	砥部町	tobe-cho
JP	38422	内子町	uchiko-cho
JP	38442	伊方町	ikata-cho
JP	38484	松野町	matsuno-cho
JP	38488	鬼北町	kihoku-cho
JP	38506	愛南町	ainan-cho
JP	39000	高知
JP	39201	高知市	kochi-shi
JP	39202	室戸市	muroto-shi
JP	39203	安芸市	aki-shi
JP	39204	南国市	nankoku-shi
JP	39205	土佐市	tosa-shi
JP	39206	須崎市	susaki-shi
JP	39208	宿毛市	sukumo-shi
JP	39209	土佐清水市	tosashimizu-shi
JP	39210	四万十市	shimanto-shi
JP	39211	香南市	konan-shi
JP	39212	香美市	kami-shi
JP	39301	東洋町	toyo-cho
JP	39302	奈半利町	nahari-cho
JP	39303	田野町	tano-cho
JP	39304	安田町	yasuda-cho
JP	39305	北川村	kitagawa-mura
JP	39306	馬路村	umaji-mura
JP	39307	芸西村	geisei-mura
JP	39341	本山町	motoyama-cho
JP	39344	大豊町	otoyo-cho
JP	39363	土佐町	tosa-cho
JP	39364	大川村	okawa-mura
JP	39386	いの町	ino-cho
JP	39387	仁淀川町	niyodogawa-cho
JP	39401	中土佐町	nakatosa-cho
JP	39402	佐川町	sakawa-cho
JP	39403	越知町	ochi-cho
JP	39405	檮原町	yusuhara-cho
JP	39410	日高村	hidaka-mura
JP	39411	津野町	tsuno-cho
JP	39412	四万十町	shimanto-cho
JP	39424	大月町	otsuki-cho
JP	39427	三原村	mihara-mura
JP	39428	黒潮町	kuroshio-cho
JP	40000	福岡
JP	40100	北九州市	kitakyushu-shi
JP	40101	北九州市門司区	kitakyushu-shi moji-ku
JP	40103	北九州市若松区	kitakyushu-shi wakamatsu-ku
JP	40105	北九州市戸畑区	kitakyushu-shi tobata-ku
JP	40106	北九州市小倉北区	kitakyushu-shi kokurakita-ku
JP	40107	北九州市小倉南区	kitakyushu-shi kokuraminami-ku
JP	40108	北九州市八幡東区	kitakyushu-shi yahatahigashi-ku
JP	40109	北九州市八幡西区	kitakyushu-shi yahatanishi-ku
JP	40130	福岡市	fukuoka-shi
JP	40131	福岡市東区	fukuoka-shi higashi-ku
JP	40132	福岡市博多区	fukuoka-shi hakata-ku
JP	40133	福岡市中央区	fukuoka-shi chuo-ku
JP	40134	福岡市南区	fukuoka-shi minami-ku
JP	40135	福岡市西区	fukuoka-shi nishi-ku
JP	40136	福岡市城南区	fukuoka-shi jonan-ku
JP	40137	福岡市早良区	fukuoka-shi sawara-ku
JP	40202	大牟田市	omuta-shi
JP	40203	久留米市	kurume-shi
JP	40204	直方市	nogata-shi
JP	40205	飯塚市	iidhuka-shi
JP	40206	田川市	tagawa-shi
JP	40207	柳川市	yanagawa-shi
JP	40210	八女市	yame-shi
JP	40211	筑後市	chikugo-shi
JP	40212	大川市	okawa-shi
JP	40213	行橋市	yukuhashi-shi
JP	40214	豊前市	buzen-shi
JP	40215	中間市	nakama-shi
JP	40216	小郡市	ogori-shi
JP	40217	筑紫野市	chikushino-shi
JP	40218	春日市	kasuga-shi
JP	40219	大野城市	onojo-shi
JP	40220	宗像市	munakata-shi
JP	40221	太宰府市	dazaifu-shi
JP	40222	前原市	maebaru-shi
JP	40223	古賀市	koga-shi
JP	40224	福津市	fukutsu-shi
JP	40225	うきは市	ukiha-shi
JP	40226	宮若市	miyawaka-shi
JP	40227	嘉麻市	kama-shi
JP	40228	朝倉市	asakura-shi
JP	40229	みやま市	miyama-shi
JP	40230	糸島市	itoshima-shi
JP	40305	那珂川町	nakagawa-machi
JP	40341	宇美町	umi-machi
JP	40342	篠栗町	sasaguri-machi
JP	40343	志免町	shime-machi
JP	40344	須恵町	sue-machi
JP	40345	新宮町	shingu-machi
JP	40348	久山町	hisayama-machi
JP	40349	粕屋町	kasuya-machi
JP	40381	芦屋町	ashiya-machi
JP	40382	水巻町	mizumaki-machi
JP	40383	岡垣町	okagaki-machi
JP	40384	遠賀町	onga-cho
JP	40401	小竹町	kotake-machi
JP	40402	鞍手町	kurate-machi
JP	40421	桂川町	keisen-machi
JP	40447	筑前町	chikuzen-machi
JP	40448	東峰村	toho-mura
JP	40462	二丈町	nijo-machi
JP	40463	志摩町	shima-machi
JP	40503	大刀洗町	tachiarai-machi
JP	40522	大木町	oki-machi
JP	40541	黒木町	kurogi-machi
JP	40543	立花町	tachibana-machi
JP	40544	広川町	hirokawa-machi
JP	40545	矢部村	yabe-mura
JP	40546	星野村	hoshino-mura
JP	40601	香春町	kawara-machi
JP	40602	添田町	soeda-machi
JP	40604	糸田町	itoda-machi
JP	40605	川崎町	kawasaki-machi
JP	40608	大任町	oto-machi
JP	40609	赤村	aka-mura
JP	40610	福智町	fukuchi-machi
JP	40621	苅田町	kanda-machi
JP	40625	みやこ町	miyako-machi
JP	40642	吉富町	yoshitomi-machi
JP	40646	上毛町	koge-machi
JP	40647	築上町	chikujo-machi
JP	41000	佐賀
JP	41201	佐賀市	saga-shi
JP	41202	唐津市	karatsu-shi
JP	41203	鳥栖市	tosu-shi
JP	41204	多久市	taku-shi
JP	41205	伊万里市	imari-shi
JP	41206	武雄市	takeo-shi
JP	41207	鹿島市	kashima-shi
JP	41208	小城市	ogi-shi
JP	41209	嬉野市	ureshino-shi
JP	41210	神埼市	kanzaki-shi
JP	41327	吉野ヶ里町	yoshinogari-cho
JP	41341	基山町	kiyama-cho
JP	41345	上峰町	kamimine-cho
JP	41346	みやき町	miyaki-cho
JP	41387	玄海町	genkai-cho
JP	41401	有田町	arita-cho
JP	41423	大町町	omachi-cho
JP	41424	江北町	kohoku-machi
JP	41425	白石町	shiroishi-cho
JP	41441	太良町	tara-cho
JP	42000	長崎
JP	42201	長崎市	nagasaki-shi
JP	42202	佐世保市	sasebo-shi
JP	42203	島原市	shimabara-shi
JP	42204	諫早市	isahaya-shi
JP	42205	大村市	omura-shi
JP	42207	平戸市	hirado-shi
JP	42208	松浦市	matsura-shi
JP	42209	対馬市	tsushima-shi
JP	42210	壱岐市	iki-shi
JP	42211	五島市	goto-shi
JP	42212	西海市	saikai-shi
JP	42213	雲仙市	unzen-shi
JP	42214	南島原市	minamishimabara-shi
JP	42307	長与町	nagayo-cho
JP	42308	時津町	togitsu-cho
JP	42321	東彼杵町	higashisonogi-cho
JP	42322	川棚町	kawatana-cho
JP	42323	波佐見町	hasami-cho
JP	42383	小値賀町	odhika-cho
JP	42388	江迎町	emukae-cho
JP	42389	鹿町町	shikamachi-cho
JP	42391	佐々町	saza-cho
JP	42411	新上五島町	shinkamigoto-cho
JP	43000	熊本
JP	43100	熊本市	kumamoto-shi
JP	43101	熊本市中央区	kumamoto-shi chuo-ku
JP	43102	熊本市東区	kumamoto-shi higashi-ku
JP	43103	熊本市西区	kumamoto-shi nishi-ku
JP	43104	熊本市南区	kumamoto-shi minami-ku
JP	43105	熊本市北区	kumamoto-shi kita-ku
JP	43201	熊本市	kumamoto-shi
JP	43202	八代市	yatsushiro-shi
JP	43203	人吉市	hitoyoshi-shi
JP	43204	荒尾市	arao-shi
JP	43205	水俣市	minamata-shi
JP	43206	玉名市	tamana-shi
JP	43208	山鹿市	yamaga-shi
JP	43210	菊池市	kikuchi-shi
JP	43211	宇土市	uto-shi
JP	43212	上天草市	kamiamakusa-shi
JP	43213	宇城市	uki-shi
JP	43214	阿蘇市	aso-shi
JP	43215	天草市	amakusa-shi
JP	43216	合志市	koshi-shi
JP	43341	城南町	jonan-machi
JP	43342	富合町	tomiai-machi
JP	43348	美里町	misato-machi
JP	43364	玉東町	gyokuto-machi
JP	43367	南関町	nankan-machi
JP	43368	長洲町	nagasu-machi
JP	43369	和水町	nagomi-machi
JP	43385	植木町	ueki-machi
JP	43403	大津町	odhu-machi
JP	43404	菊陽町	kikuyo-machi
JP	43423	南小国町	minamioguni-machi
JP	43424	小国町	oguni-machi
JP	43425	産山村	ubuyama-mura
JP	43428	高森町	takamori-machi
JP	43432	西原村	nishihara-mura
JP	43433	南阿蘇村	minamiaso-mura
JP	43441	御船町	mifune-machi
JP	43442	嘉島町	kashima-machi
JP	43443	益城町	mashiki-machi
JP	43444	甲佐町	kosa-machi
JP	43447	山都町	yamato-cho
JP	43468	氷川町	hikawa-cho
JP	43482	芦北町	ashikita-machi
JP	43484	津奈木町	tsunagi-machi
JP	43501	錦町	nishiki-machi
JP	43505	多良木町	taragi-machi
JP	43506	湯前町	yunomae-machi
JP	43507	水上村	mizukami-mura
JP	43510	相良村	sagara-mura
JP	43511	五木村	itsuki-mura
JP	43512	山江村	yamae-mura
JP	43513	球磨村	kuma-mura
JP	43514	あさぎり町	asagiri-cho
JP	43531	苓北町	reihoku-machi
JP	44000	大分
JP	44201	大分市	oita-shi
JP	44202	別府市	beppu-shi
JP	44203	中津市	nakatsu-shi
JP	44204	日田市	hita-shi
JP	44205	佐伯市	saiki-shi
JP	44206	臼杵市	usuki-shi
JP	44207	津久見市	tsukumi-shi
JP	44208	竹田市	taketa-shi
JP	44209	豊後高田市	bungotakada-shi
JP	44210	杵築市	kitsuki-shi
JP	44211	宇佐市	usa-shi
JP	44212	豊後大野市	bungoono-shi
JP	44213	由布市	yufu-shi
JP	44214	国東市	kunisaki-shi
JP	44322	姫島村	himeshima-mura
JP	44341	日出町	hiji-machi
JP	44461	九重町	kokonoe-machi
JP	44462	玖珠町	kusu-machi
JP	45000	宮崎
JP	45201	宮崎市	miyazaki-shi
JP	45202	都城市	miyakonojo-shi
JP	45203	延岡市	nobeoka-shi
JP	45204	日南市	nichinan-shi
JP	45205	小林市	kobayashi-shi
JP	45206	日向市	hyuga-shi
JP	45207	串間市	kushima-shi
JP	45208	西都市	saito-shi
JP	45209	えびの市	ebino-shi
JP	45301	清武町	kiyotake-cho
JP	45321	北郷町	kitago-cho
JP	45322	南郷町	nango-cho
JP	45341	三股町	mimata-cho
JP	45361	高原町	takaharu-cho
JP	45362	野尻町	nojiri-cho
JP	45382	国富町	kunitomi-cho
JP	45383	綾町	aya-cho
JP	45401	高鍋町	takanabe-cho
JP	45402	新富町	shintomi-cho
JP	45403	西米良村	nishimera-son
JP	45404	木城町	kijo-cho
JP	45405	川南町	kawaminami-cho
JP	45406	都農町	tsuno-cho
JP	45421	門川町	kadogawa-cho
JP	45429	諸塚村	morotsuka-son
JP	45430	椎葉村	shiiba-son
JP	45431	美郷町	misato-cho
JP	45441	高千穂町	takachiho-cho
JP	45442	日之影町	hinokage-cho
JP	45443	五ヶ瀬町	gokase-cho
JP	46000	鹿児島
JP	46201	鹿児島市	kagoshima-shi
JP	46203	鹿屋市	kanoya-shi
JP	46204	枕崎市	makurazaki-shi
JP	46206	阿久根市	akune-shi
JP	46208	出水市	izumi-shi
JP	46209	大口市	okuchi-shi
JP	46210	指宿市	ibusuki-shi
JP	46213	西之表市	nishinomote-shi
JP	46214	垂水市	tarumizu-shi
JP	46215	薩摩川内市	satsumasendai-shi
JP	46216	日置市	hioki-shi
JP	46217	曽於市	so-shi
JP	46218	霧島市	kirishima-shi
JP	46219	いちき串木野市	ichikikushikino-shi
JP	46220	南さつま市	minamisatsuma-shi
JP	46221	志布志市	shibushi-shi
JP	46222	奄美市	amami-shi
JP	46223	南九州市	minamikyushu-shi
JP	46224	伊佐市	isa-shi
JP	46225	姶良市	aira-shi
JP	46303	三島村	mishima-mura
JP	46304	十島村	toshima-mura
JP	46392	さつま町	satsuma-cho
JP	46404	長島町	nagashima-cho
JP	46421	菱刈町	hishikari-cho
JP	46441	加治木町	kajiki-cho
JP	46442	姶良町	aira-cho
JP	46443	蒲生町	kamo-cho
JP	46452	湧水町	yusui-cho
JP	46468	大崎町	osaki-cho
JP	46482	東串良町	higashikushira-cho
JP	46490	錦江町	kinko-cho
JP	46491	南大隅町	minamiosumi-cho
JP	46492	肝付町	kimotsuki-cho
JP	46501	中種子町	nakatane-cho
JP	46502	南種子町	minamitane-cho
JP	46505	屋久島町	yakushima-cho
JP	46523	大和村	yamato-son
JP	46524	宇検村	uken-son
JP	46525	瀬戸内町	setochi-cho
JP	46527	龍郷町	tatsugo-cho
JP	46529	喜界町	kikai-cho
JP	46530	徳之島町	tokunoshima-cho
JP	46531	天城町	amagi-cho
JP	46532	伊仙町	isen-cho
JP	46533	和泊町	wadomari-cho
JP	46534	知名町	china-cho
JP	46535	与論町	yoron-cho
JP	47000	沖縄
JP	47201	那覇市	naha-shi
JP	47205	宜野湾市	ginowan-shi
JP	47207	石垣市	ishigaki-shi
JP	47208	浦添市	urasoe-shi
JP	47209	名護市	nago-shi
JP	47210	糸満市	itoman-shi
JP	47211	沖縄市	okinawa-shi
JP	47212	豊見城市	tomigusuku-shi
JP	47213	うるま市	uruma-shi
JP	47214	宮古島市	miyakojima-shi
JP	47215	南城市	nanjo-shi
JP	47301	国頭村	kunigami-son
JP	47302	大宜味村	ogimi-son
JP	47303	東村	higashi-son
JP	47306	今帰仁村	nakijin-son
JP	47308	本部町	motobu-cho
JP	47311	恩納村	onna-son
JP	47313	宜野座村	ginoza-son
JP	47314	金武町	kin-cho
JP	47315	伊江村	ie-son
JP	47324	読谷村	yomitan-son
JP	47325	嘉手納町	kadena-cho
JP	47326	北谷町	chyatan-cho
JP	47327	北中城村	kitanakagusuku-son
JP	47328	中城村	nakagusuku-son
JP	47329	西原町	nishihara-cho
JP	47348	与那原町	yonabaru-cho
JP	47350	南風原町	haebaru-cho
JP	47353	渡嘉敷村	tokashiki-son
JP	47354	座間味村	zamami-son
JP	47355	粟国村	aguni-son
JP	47356	渡名喜村	tonaki-son
JP	47357	南大東村	minamidaito-son
JP	47358	北大東村	kitadaito-son
JP	47359	伊平屋村	iheya-son
JP	47360	伊是名村	izena-son
JP	47361	久米島町	kumejima-cho
JP	47362	八重瀬町	yaese-cho
JP	47375	多良間村	tarama-son
JP	47381	竹富町	taketomi-cho
JP	47382	与那国町	yonaguni-cho
JP	N/A	判定不明	unknown
JP	unknown	判定不明	unknown
