region_schema	region_parent	region_child	pop_2020	no_exc
admin_1	bf	bf-kad	4206071	True
admin_1	bf	bf-ken	485498	True
admin_1	bf	bf-kmd	142144	True
admin_1	bf	bf-kmp	203538	True
admin_1	bf	bf-kop	407625	True
admin_1	bf	bf-kos	364188	True
admin_1	bf	bf-kot	507115	True
admin_1	bf	bf-kow	180933	True
admin_1	bf	bf-ler	194971	True
admin_1	bf	bf-lor	203598	True
admin_1	bf	bf-mou	420137	True
admin_1	bf	bf-nam	495683	True
admin_1	bf	bf-nao	245752	True
admin_1	bf	bf-nay	217635	True
admin_1	bf	bf-nou	87309	True
admin_1	bf	bf-oub	317910	True
admin_1	bf	bf-oud	328846	True
admin_1	bf	bf-pas	401640	True
admin_1	bf	bf-pon	425558	True
admin_1	bf	bf-sen	380666	True
admin_1	bf	bf-sis	326009	True
admin_1	bf	bf-smt	859066	True
admin_1	bf	bf-sng	403864	True
admin_1	bf	bf-som	529493	True
admin_1	bf	bf-sor	288415	True
admin_1	bf	bf-tap	565581	True
admin_1	bf	bf-tui	384880	True
admin_1	bf	bf-yag	246426	True
admin_1	bf	bf-yat	774789	True
admin_1	bf	bf-zir	313499	True
admin_1	bf	bf-zon	221331	True
admin_1	bf	bf-zou	337932	True
admin_1	bg	bg-01	308030	True
admin_1	bg	bg-02	407820	True
admin_1	bg	bg-03	478117	True
admin_1	bg	bg-04	239301	True
admin_1	bg	bg-05	85302	True
admin_1	bg	bg-06	176303	True
admin_1	bg	bg-07	102296	True
admin_1	bg	bg-08	164219	True
admin_1	bg	bg-09	153387	True
admin_1	bg	bg-10	116250	True
admin_1	bg	bg-11	118859	True
admin_1	bg	bg-12	120652	True
admin_1	bg	bg-13	246661	True
admin_1	bg	bg-14	121268	True
admin_1	bg	bg-15	237858	True
admin_1	bg	bg-16	639475	True
admin_1	bg	bg-17	106346	True
admin_1	bg	bg-18	213579	True
admin_1	bg	bg-19	776620	True
admin_1	bg	bg-20	182143	True
admin_1	bg	bg-21	109553	True
admin_1	bg	bg-22	1328827	True
