ISO,Country/Group,1.1.1) Internet users / % of households,1.1.2) Fixed-line broadband subscribers / Per 100 inhabitants,1.1.3) Mobile subscribers / Per 100 inhabitants,1.1.4) Gender gap in internet access / % difference,1.1.5) Gender gap in mobile phone access / % difference,1.2.1) Average fixed broadband upload speed / Kbps,1.2.2) Average fixed broadband download speed / Kbps,1.2.3) Average fixed broadband latency / ms,1.2.4) Average mobile upload speed / Kbps,1.2.5) Average mobile download speed / Kbps,1.2.6) Average mobile latency / ms,1.2.7) Bandwidth capacity / Bit/s per Internet user,1.3.1) Network coverage (min. 2G) / % of population,1.3.2) Network coverage (min. 3G) / % of population,1.3.3) Network coverage (min. 4G) / % of population,"1.3.4) 5G deployment / Qualitative rating 0-2, 2=best","1.3.5) Government initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best","1.3.6) Private sector initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best",1.3.7) Internet exchange points / Number of IXPs per 10 million inhabitants,1.4.1) Urban electricity access / % of population,1.4.2) Rural electricity access / % of population,"2.1.1) Smartphone cost (handset) / Score of 0-100, 100=most affordable",2.1.2) Mobile phone cost (prepaid tariff) / % of monthly GNI per capita,2.1.3) Mobile phone cost (postpaid tariff) / % of monthly GNI per capita,2.1.4) Fixed-line monthly broadband cost / % of monthly GNI per capita,"2.2.1) Average revenue per user (ARPU, annualized) / USD","2.2.2) Wireless operators' market share / HHI score (0-10,000)","2.2.3) Broadband operators' market share / HHI score (0-10,000)","3.1.1) Availability of basic information in the local language / Qualitative rating 0-3, 3=best","3.1.2) Concentration of websites using country-level domains / Qualitative rating 0-3, 3=best","3.1.3) Availability of e-Government services in the local language / Qualitative rating 0-2, 2=best","3.2.1) e-Finance content / Qualitative rating 0-2, 2=best",3.2.2) Value of e-finance / %,"3.2.3) e-Health content / Qualitative rating 0-3, 3=best",3.2.4) Value of e-health / %,3.2.5) e-Entertainment usage / %,"3.2.6) e-Commerce content / Score of 0-100, 100=best",3.2.7) Value of e-Commerce / %,"3.2.8) Open data policies / Qualitative rating 0-2, 2=best",4.1.1) Level of literacy / % of population,4.1.2) Educational attainment / Years of schooling,"4.1.3) Support for digital literacy / Qualitative rating 0-3, 3=best","4.1.4) Level of web accessibility / Qualitative rating 0-4, 4=best","4.2.1) Privacy regulations / Qualitative rating 0-2, 2=best",4.2.2) Trust in online privacy / %,4.2.3) Trust in Government websites and apps / %,4.2.4) Trust in Non-government websites and apps / %,4.2.5) Trust in information from social media / %,4.2.6) e-Commerce safety / %,"4.3.1) National female e-inclusion policies / Qualitative rating 0-4, 4=best","4.3.1.1) Comprehensive female e-inclusion plan / Qualitative rating 0-2, 2=best","4.3.1.2) Female digital skills training plan / Qualitative rating 0-1, 1=best","4.3.1.3) Female STEM education plan / Qualitative rating 0-1, 1=best","4.3.2) Government e-inclusion strategy / Qualitative rating 0-2, 2=best","4.3.3) National broadband strategy / Qualitative rating 0-3, 3=best","4.3.4) Funding for broadband buildout / Qualitative rating 0-1, 1=best","4.3.5) Spectrum policy approach / Qualitative rating 0-2, 2=best","4.3.5.1) Technology-neutrality policy for spectrum use / Qualitative rating 0-1, 1=best","4.3.5.2) Unlicensed spectrum policy / Qualitative rating 0-1, 1=best","4.3.6) National digital identification system / Qualitative rating 0-2, 2=best","4.3.7) Government efforts to promote 5G / Qualitative rating 0-3, 3=best",BG1) Nominal GDP / USD billions,BG2) Population / Millions,BG3) Urban population / % of total population,BG4) GNI per capita / US$ per person,"BG5) GINI coefficient / Score, 0-100; 0 is perfect equality; 100 is perfect inequality",BG6) Population under the poverty line / % of population,BG7) Total electricity access / % of population,BG8) Cable landing stations / Number of cable landing stations per 10 million inhabitants,BG9) Percentage of schools with Internet access / % of schools,"BG10) Global Peace Index / Score, 1-5; 1 = best","BG11) Democracy Index / Score, 0-10; 10 = best","BG12) Corruption Perceptions Index / Score, 0-100; 100 = best","BG13) EIU Business Environment Rankings / Score, 1-10, 10 = high","BG14) UN E-Government Development Index / Score, 0-1; 1 = best",BG15) Internet users (population) / Millions,BG16) Offline population / Millions,BG17) Internet access gender gap / Difference in percentage points,BG18) Mobile phone access gender gap / Difference in percentage points,BG19) Internet users (percent of population) / % of population,BG20) Male internet users / % of male population,BG21) Female internet users / % of female population,BG22) Male mobile phone subscribers / % of male population,BG23) Female mobile phone subscribers / % of female population,BG24) Total fixed line broadband subscribers / Number of subscriptions
HR,Croatia,81.5,26.96,105.6,9,10.8,15680,35850,26,17030,59830,31,142630,100,99.4,98.5,1,2,0,2.41,100,100,46.6,0.79,1.14,1.46,161,3697,3682,3,3,2,2,58,3,72,100,84.3,72,2,99.3,11.4,3,1,2,28,30,24,28,59.2,2,2,0,0,2,2,1,1,1,0,2,0,60.8,4.2,56.9,13830,31.1,0.3,100,4.8,86.5,1.6,6.6,48,6,0.7,3.02,1.14,7,10,72.7,78,71,93,83,1120360
CU,Cuba,17.7,0.87,47.4,12.1,2.8,7440,5730,165,15010,30340,97,540,85.3,67.1,0,0,1,0,0.88,100,100,29.7,4.05,3.21,25.95,134.7,10000,10000,3,2,1,1,47.3,2,60,94.3,42.2,50.3,0,99.7,11.8,3,0,0,61.3,45,34.3,25.7,54,0,0,0,0,2,3,0,1,1,0,2,0,100,11.3,77,8325,46.2,1.8,100,3.5,29.2,2.1,3,47,3.9,0.4,6.48,4.86,4.8,2.3,57.1,39.7,34.9,81.9,79.5,98838
DK,Denmark,97,44.06,125.1,2,0,91700,118870,14,19530,50670,27,87136,100,100,100,1,2,2,3.48,100,100,67.2,0.75,0.39,0.81,251,2918,3515,3,3,2,2,52,3,50,86,94.2,68,2,100,12.6,3,2,2,42,58,18,22,54,2,2,0,0,2,3,1,2,1,1,2,3,352.1,5.8,87.9,60190,28.2,0.1,100,73,100,1.3,9.2,88,8.4,0.9,5.62,0.14,2,0,97.6,98,96,100,100,2534348
EG,Egypt,51,6.69,95.3,22.7,16.1,5350,15210,48,9040,16840,40,24900,99.8,98.71,89,1,2,2,0.21,99.9,99.9,34,0.45,0.5,1.27,27,3281,6541,3,0,1,2,48,2,62,94,39.4,54,1,71.2,7.3,3,0,2,56,56,24,24,52.1,2,1,1,0,2,2,1,0,0,0,2,1,249.1,97.1,42.7,2800,31.8,0.2,99.9,2.7,49.1,2.5,3.4,35,5.2,0.5,46.18,52.24,10,14,46.9,44,34,87,73,6579762
SV,El Salvador,17.1,7.67,130,21.7,11.4,4290,12340,49,5950,10930,35,134913,92,85,68,0,2,2,0,99.3,91.6,43.5,5.06,3.33,7.36,103.2,2596,3686,2,2,1,2,58,2,68,98,37.2,40,2,88.5,6.9,3,2,1,48,62,28,28,44,1,0,1,0,0,0,0,2,1,1,2,0,26,6.4,72,3820,38,0.4,97.1,0,40.1,2.3,6,35,5.9,0.5,2.16,4.23,13,10,33.8,60,47,88,78,492265
EE,Estonia,90.5,33.35,130,8,1,51890,64560,17,14510,46300,25,122159,100,100,99,1,2,2,30.33,100,100,55.3,0.84,0.58,1.16,154,3485,3585,3,3,2,2,74,3,80,92,90.7,66,2,99.8,13,3,2,2,38,64,16,22,60,4,2,1,1,2,3,1,2,1,1,2,3,30.8,1.3,68.9,20940,32.7,0.4,100,45.5,100,1.7,8,73,7.5,0.8,1.18,0.14,7,1,89.4,88,81,98,97,441173
ET,Ethiopia,18,0.06,37.2,33.3,29.9,19020,12060,38,10010,16220,56,1383,85,66,7,0,0,0,0,96,31.6,2.7,5.77,12.18,18.45,31,10000,10000,3,1,1,1,24,3,42,86,31.1,60,1,51.8,2.8,3,2,2,68,58,32,26,42.6,3,1,1,1,2,2,1,1,0,1,1,0,80.3,109.2,20.8,790,35,8.9,45,0,7.3,2.4,3.4,34,4.3,0.3,19.81,86.59,5,20,18.6,15,10,67,47,62950
FR,France,82.4,44.77,108.4,4.3,-1.2,87690,131030,29,11060,44120,41,54598,99,99,99,1,2,2,2.46,100,100,81.3,0.37,0.35,0.88,285,2648,2697,3,3,2,2,54,3,52,80,90.4,42,2,100,11.4,1,2,2,24,36,2,8,46,2,2,0,0,2,3,1,2,1,1,2,3,2781.8,65,80.4,41080,32.7,0,100,3.7,98.6,1.9,7.8,72,8,0.9,53.32,11.67,4,-1,82,94,90,85,86,29097000
GA,Gabon,41,1.37,130,15.5,4.5,7720,22080,111,11643,20288,45,9608,99,97,97,1,0,0,4.82,98.5,34.7,45.6,1.26,1.27,4.44,122.4,5058,4557,2,0,1,1,40,1,46,90,38.3,52,2,84.7,8.3,0,1,2,66,50,42,42,66,0,0,0,0,1,3,1,1,1,0,2,0,17,2.1,89.4,6800,38,0.8,91.7,19.3,48.1,2.1,3.6,31,5.2,0.4,1.28,0.78,9,4,62,58,49,89,85,29099
DE,Germany,89.9,41.09,129.3,7.8,3.3,21470,77570,23,12720,36040,40,53756,99,97.5,97.5,2,2,2,2.41,100,100,57.7,0.5,0.46,1.08,237,3362,2339,3,2,2,2,38,2,48,92,92.9,64,2,100,14.1,2,3,2,66,46,18,20,60,3,2,0,1,2,3,1,2,1,1,2,3,3956.7,82.8,77.3,47180,31.7,0,100,1.2,94.4,1.5,8.7,80,8.3,0.9,74.6,8.53,7,3,89.7,90,83,90,87,34152000
