ISO,Country/Group,1.1.1) Internet users / % of households,1.1.2) Fixed-line broadband subscribers / Per 100 inhabitants,1.1.3) Mobile subscribers / Per 100 inhabitants,1.1.4) Gender gap in internet access / % difference,1.1.5) Gender gap in mobile phone access / % difference,1.2.1) Average fixed broadband upload speed / Kbps,1.2.2) Average fixed broadband download speed / Kbps,1.2.3) Average fixed broadband latency / ms,1.2.4) Average mobile upload speed / Kbps,1.2.5) Average mobile download speed / Kbps,1.2.6) Average mobile latency / ms,1.2.7) Bandwidth capacity / Bit/s per Internet user,1.3.1) Network coverage (min. 2G) / % of population,1.3.2) Network coverage (min. 3G) / % of population,1.3.3) Network coverage (min. 4G) / % of population,"1.3.4) 5G deployment / Qualitative rating 0-2, 2=best","1.3.5) Government initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best","1.3.6) Private sector initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best",1.3.7) Internet exchange points / Number of IXPs per 10 million inhabitants,1.4.1) Urban electricity access / % of population,1.4.2) Rural electricity access / % of population,"2.1.1) Smartphone cost (handset) / Score of 0-100, 100=most affordable",2.1.2) Mobile phone cost (prepaid tariff) / % of monthly GNI per capita,2.1.3) Mobile phone cost (postpaid tariff) / % of monthly GNI per capita,2.1.4) Fixed-line monthly broadband cost / % of monthly GNI per capita,"2.2.1) Average revenue per user (ARPU, annualized) / USD","2.2.2) Wireless operators' market share / HHI score (0-10,000)","2.2.3) Broadband operators' market share / HHI score (0-10,000)","3.1.1) Availability of basic information in the local language / Qualitative rating 0-3, 3=best","3.1.2) Concentration of websites using country-level domains / Qualitative rating 0-3, 3=best","3.1.3) Availability of e-Government services in the local language / Qualitative rating 0-2, 2=best","3.2.1) e-Finance content / Qualitative rating 0-2, 2=best",3.2.2) Value of e-finance / %,"3.2.3) e-Health content / Qualitative rating 0-3, 3=best",3.2.4) Value of e-health / %,3.2.5) e-Entertainment usage / %,"3.2.6) e-Commerce content / Score of 0-100, 100=best",3.2.7) Value of e-Commerce / %,"3.2.8) Open data policies / Qualitative rating 0-2, 2=best",4.1.1) Level of literacy / % of population,4.1.2) Educational attainment / Years of schooling,"4.1.3) Support for digital literacy / Qualitative rating 0-3, 3=best","4.1.4) Level of web accessibility / Qualitative rating 0-4, 4=best","4.2.1) Privacy regulations / Qualitative rating 0-2, 2=best",4.2.2) Trust in online privacy / %,4.2.3) Trust in Government websites and apps / %,4.2.4) Trust in Non-government websites and apps / %,4.2.5) Trust in information from social media / %,4.2.6) e-Commerce safety / %,"4.3.1) National female e-inclusion policies / Qualitative rating 0-4, 4=best","4.3.1.1) Comprehensive female e-inclusion plan / Qualitative rating 0-2, 2=best","4.3.1.2) Female digital skills training plan / Qualitative rating 0-1, 1=best","4.3.1.3) Female STEM education plan / Qualitative rating 0-1, 1=best","4.3.2) Government e-inclusion strategy / Qualitative rating 0-2, 2=best","4.3.3) National broadband strategy / Qualitative rating 0-3, 3=best","4.3.4) Funding for broadband buildout / Qualitative rating 0-1, 1=best","4.3.5) Spectrum policy approach / Qualitative rating 0-2, 2=best","4.3.5.1) Technology-neutrality policy for spectrum use / Qualitative rating 0-1, 1=best","4.3.5.2) Unlicensed spectrum policy / Qualitative rating 0-1, 1=best","4.3.6) National digital identification system / Qualitative rating 0-2, 2=best","4.3.7) Government efforts to promote 5G / Qualitative rating 0-3, 3=best",BG1) Nominal GDP / USD billions,BG2) Population / Millions,BG3) Urban population / % of total population,BG4) GNI per capita / US$ per person,"BG5) GINI coefficient / Score, 0-100; 0 is perfect equality; 100 is perfect inequality",BG6) Population under the poverty line / % of population,BG7) Total electricity access / % of population,BG8) Cable landing stations / Number of cable landing stations per 10 million inhabitants,BG9) Percentage of schools with Internet access / % of schools,"BG10) Global Peace Index / Score, 1-5; 1 = best","BG11) Democracy Index / Score, 0-10; 10 = best","BG12) Corruption Perceptions Index / Score, 0-100; 100 = best","BG13) EIU Business Environment Rankings / Score, 1-10, 10 = high","BG14) UN E-Government Development Index / Score, 0-1; 1 = best",BG15) Internet users (population) / Millions,BG16) Offline population / Millions,BG17) Internet access gender gap / Difference in percentage points,BG18) Mobile phone access gender gap / Difference in percentage points,BG19) Internet users (percent of population) / % of population,BG20) Male internet users / % of male population,BG21) Female internet users / % of female population,BG22) Male mobile phone subscribers / % of male population,BG23) Female mobile phone subscribers / % of female population,BG24) Total fixed line broadband subscribers / Number of subscriptions
SG,Singapore,97.7,25.88,130,2.3,1,201540,193210,11,20000,53640,24,954275,100,100,100,1,2,2,10.64,100,100,64.3,0.47,0.32,0.8,275,3679,3174,3,1,2,2,62,3,64,88,95.1,58,1,97.3,11.5,3,2,2,52,66,24,18,49,2,2,0,0,2,2,1,2,1,1,2,3,364.2,5.6,100,58770,45.9,0,100,49.7,100,1.3,6.4,85,8.5,0.9,5.08,0.68,2,1,88.2,88,86,96,95,1490000
SK,Slovakia,81.3,27.65,130,3.8,2.1,27280,71030,22,12330,36120,29,96073,100,95,94,1,2,2,1.83,100,100,54.8,1.79,0.81,1.22,165,2863,3366,3,3,2,2,48,3,74,94,85.3,64,2,99.6,12.6,1,0,2,36,26,18,22,74,2,2,0,0,1,2,1,2,1,1,2,0,106.6,5.5,53.6,18330,26.5,0.3,100,0,99.9,1.6,7.1,50,7,0.7,4.4,1.05,3,2,80.7,80,77,96,94,1507998
ZA,South Africa,61.8,2.4,130,6.4,-3.9,20670,27920,28,10060,34910,34,10468,99.9,99.51,90.32,2,2,2,1.21,96.2,92.3,54.9,2.3,1.25,2.74,87,3135,2444,3,3,2,2,70,3,68,86,54.4,60,1,87,10.2,3,3,2,60,48,40,34,69.4,4,2,1,1,2,1,1,2,1,1,2,3,368.2,57.8,66.4,5750,63,6.2,94.9,2.6,61.6,2.4,7.2,43,6,0.7,32.02,24.99,3,-3,56.2,47,44,77,80,1386841
KR,South Korea,99.5,41.6,129.7,5.6,1,114880,164120,14,18950,117790,33,53107,99.9,99.9,99.9,2,2,2,0.59,100,100,62.9,0.58,0.41,1.48,341,3624,2821,3,0,2,2,62,3,72,86,89.4,88,2,100,12.2,3,1,2,34,32,24,24,50,4,2,1,1,2,3,1,2,1,1,2,2,1721.1,51.2,81.4,30600,31.6,0.1,100,2.1,100,1.9,8,57,7.4,0.9,49.07,2.1,5,1,95.9,90,85,98,97,21285858
ES,Spain,86.4,32.03,115.9,8.2,-1.1,113420,121840,23,13350,35520,45,26859,99.8,99.9,99.5,2,2,2,0.86,100,100,63.9,0.38,0.75,1.2,225,2716,2879,3,1,2,2,56,3,52,88,82.4,68,2,98.4,9.8,3,3,2,52,40,20,18,64,4,2,1,1,2,3,1,2,1,1,2,3,1420.4,46.7,80.3,29450,36.2,0.6,100,7.1,100,1.7,8.1,58,7.3,0.8,40.21,6.49,8,-1,86.1,97,89,92,93,14956581
LK,Sri Lanka,24.4,7.21,115.1,33.3,19.3,15410,28650,30,10230,21570,31,23349,97.9,91,91,1,2,1,0.47,100,100,36.6,0.24,0.48,1.21,30,3362,5006,3,3,2,1,76,2,74,100,49.6,78,2,91.9,11.1,3,2,0,64,56,38,50,75.5,0,0,0,0,1,0,1,1,1,0,2,0,88.9,21.2,18.4,4060,39.8,0.1,100,3.3,17.8,2,6.2,38,5.3,0.6,7.21,13.92,15,16,34.1,45,30,83,67,1530720
SD,Sudan,33.6,0.07,72,34.9,13.1,8120,8080,119,7460,10670,114,2094,90,46.6,35,0,0,0,0.24,72.5,33.3,25.2,0.61,6.76,7.51,24,3672,5003,3,0,2,1,22,2,58,92,25.6,60,0,60.7,3.7,1,0,2,52,56,28,22,42,0,0,0,0,0,0,1,0,0,0,2,0,30.9,41.3,34.6,1560,35.4,4,46.9,1.2,4,3,2.2,16,3.6,0.2,12.6,28.21,5.9,9.4,30.9,16.9,11,71.9,62.4,31218
SE,Sweden,93,38.5,130,2,0,103220,127880,16,14070,47340,32,67652,100,100,100,1,2,2,9.02,100,100,70.1,0.24,0.27,0.99,280,2707,2114,3,2,2,2,68,3,58,88,89.6,54,2,100,12.4,3,3,2,54,60,22,14,76,3,2,0,1,2,2,1,2,1,1,2,2,556.3,10,87.5,55040,29.2,0.3,100,25,100,1.5,9.4,85,8.4,0.9,9.19,0.78,2,0,92.1,98,96,99,99,3902386
TW,Taiwan,89,24.13,123.7,-3.5,0,73110,103320,11,14890,43950,26,1178469,100,100,99.9,1,2,1,0.85,99,99,61.2,0.78,0.31,0.49,211,2633,4695,3,3,2,2,66,3,66,86,82.7,68,2,100,10.8,3,1,2,34,46,18,12,30,4,2,1,1,2,3,1,2,1,1,2,3,589.9,23.6,80,26376,33.6,0,99,7.6,100,1.7,7.7,63,7.8,0.8,21.97,1.71,-3,0,92.8,86,89,92,92,5725022
TZ,Tanzania,14.4,1.53,77.2,53.1,16.2,16710,16140,36,7270,12900,42,929,95,85,13,0,0,2,0.53,72.5,18.4,26,5.76,5,23.31,28,2563,4548,2,3,1,2,24,1,38,82,43.3,56,1,77.9,6,3,1,2,62,54,28,36,60.9,0,0,0,0,2,2,1,2,1,1,2,0,58.6,56.3,33.8,1020,37.8,15.4,36.7,0.5,12.4,1.9,5.4,36,5,0.4,13.67,41,17,12,25,32,15,74,62,861234
TH,Thailand,67.7,13.24,130,-1.9,1.1,82280,111490,10,13510,23720,30,147994,98,98,98,1,2,2,0.72,100,100,52.7,1.22,0.44,3.81,104,3368,2868,3,1,1,2,74,2,62,96,73.5,88,2,92.9,7.7,1,0,2,68,44,26,22,60,2,2,0,0,2,2,1,1,0,1,2,0,505.2,69.4,50,6610,36.5,0,100,1.6,96.7,2.3,4.6,36,6.7,0.7,39.45,29.98,-1,1,56.8,53,54,87,86,9189000
TT,Trinidad & Tobago,77.5,24.4,130,0,4.3,28220,56070,13,8420,21570,29,170592,100,100,75,0,2,2,7.27,100,99,48.7,1.51,0.61,1.52,172.8,5104,4315,2,1,1,2,50,2,56,92,57.9,42,0,99,11,3,3,2,62,54,36,28,62,2,2,0,0,1,3,0,2,1,1,2,0,22.8,1.4,53.2,16240,40.3,0.9,99.5,72.7,82.8,2.1,7.2,41,5.7,0.6,1.07,0.31,0,4,77.3,76,76,93,89,339130
TR,Turkey,83.8,16.28,97.3,13.3,0,8220,25290,29,15660,33800,33,94995,99.69,98.32,93.17,0,2,2,0.24,100,100,35.7,0.5,1.36,0.85,82,3412,4157,3,3,2,2,72,3,88,98,71.8,82,0,96.2,7.7,3,3,2,46,50,10,12,66,3,1,1,1,1,3,1,2,1,1,2,3,769.2,82.3,75.2,10380,41.9,0,100,0.6,86,3,4.4,41,6.2,0.7,58.5,23.84,11,0,71,83,72,91,91,13407226
AE,UAE,98.4,31.4,130,-1.1,0,36900,90270,10,21850,69720,30,357642,100,100,99.73,2,2,2,2.1,100,100,73.2,0.73,0.83,0.58,332,5180,7195,3,0,2,2,30,3,44,92,83.8,42,2,93.8,11,3,2,2,44,44,36,28,52,2,2,0,0,0,2,1,1,1,0,2,3,414.1,9.5,86.6,41010,35.3,0,100,21,89.2,1.8,2.8,70,7.5,0.8,9.48,0.15,-1,0,98.5,93,94,100,100,3024565
UG,Uganda,10.8,0.03,57.3,15.6,13.7,16440,15960,35,6770,15540,40,7775,98,69.63,57,0,2,1,0.23,63.1,10.8,21.4,8.07,16.08,10.72,26.4,3668,5771,1,3,2,2,56,2,66,96,38.8,60,1,76.5,6.1,3,3,2,68,50,32,32,52,3,1,1,1,2,3,1,2,1,1,2,0,29.7,42.7,23.8,620,42.8,13.2,23.2,0,12.4,2.2,5.2,26,5.4,0.4,9.76,31.41,5,10,23.7,32,27,73,63,11779
GB,United Kingdom,94,39.6,117.5,-1.1,-3.8,18750,63650,22,11560,34140,43,418135,99.9,99.7,99.7,2,2,2,1.34,100,100,79.7,0.45,0.46,1.03,256,2704,2518,3,1,2,2,58,3,42,86,94.4,64,2,100,13,3,2,2,62,50,18,20,70,4,2,1,1,2,3,1,2,1,1,0,3,2858.8,67.1,83.4,41340,33.2,0.1,100,16.2,100,1.8,8.5,80,7.9,0.9,63.72,3.43,-1,-3,94.9,92,93,80,83,26586110
US,United States,83.8,35.61,123.7,0,3.1,48410,129810,26,11310,39290,47,107865,99.9,99.9,99.8,2,2,2,3.34,100,100,84.6,0.47,0.66,1.01,529,2567,1543,3,3,2,2,35.8,3,56.6,83,91.3,58.5,2,100,13.4,3,3,2,52.8,35.8,17,13.2,50.9,3,2,0,1,2,3,1,2,1,1,0,3,20580.3,329.2,82.2,62850,41.5,1,100,6.1,100,2.4,8,71,8.2,0.9,283.69,41.4,0,3,87.3,94,94,97,94,116467000
UZ,Uzbekistan,79.9,10.39,75.9,26.1,25.6,21590,21470,37,5660,9410,59,9571,98.4,75,43,1,1,2,0.31,100,100,8.2,1.83,13.45,2.13,31.2,3242,3974,3,3,1,1,42,3,50,94,45.4,44,2,100,11.5,0,0,2,50,50,24,32,44.7,0,0,0,0,1,0,1,1,1,0,2,1,52,32.5,50.5,2020,35.3,22.1,100,0,90.4,2.2,2,23,4.6,0.6,16.72,15.24,12,23,52.3,46,34,90,67,3320210
VE,Venezuela,33.5,8.73,71.8,-4.3,-1.8,1730,3640,147,5250,7890,99,18738,96,90.64,82,0,2,0,0,100,100,0,3.55,4.31,4.21,36,3944,7774,3,1,2,2,47.3,2,60,94.3,52.3,50.3,1,97.1,10.3,1,0,0,61.3,45,34.3,25.7,54,3,2,0,1,2,0,1,1,0,1,2,0,236.6,31.6,88.2,7769,46.9,7.1,100,6.3,14.6,2.7,3.2,18,3.8,0.5,21.17,8.23,-2,-1,72,46,48,57,58,2522213
VN,Vietnam,47.1,13.6,130,13.6,4.2,44410,42450,8,17040,29080,27,64542,99.7,99.6,93.89,1,2,0,0.1,100,99.4,38.6,1.19,2.94,0.49,16.6,3364,3122,3,3,2,2,76,2,76,100,61.1,70,0,95,8.2,2,0,2,68,58,38,38,66,0,0,0,0,2,3,1,2,1,1,2,1,240.8,95.6,35.9,2400,35.3,0.4,99.6,0.6,32.2,1.9,3.1,33,5.9,0.6,67.22,28.33,9,4,70.3,66,57,95,91,12994451
ZM,Zambia,17.7,0.25,89.2,24.3,4.7,9930,10170,53,9880,14950,52,14746,86.9,76.5,43.41,0,0,2,0.57,79.6,3.8,29.2,3.88,12.61,24.24,32.4,3725,5771,2,2,1,1,38,1,54,94,26.4,42,0,86.7,7.1,3,1,2,44,42,22,26,58,1,0,0,1,1,0,1,2,1,1,2,0,26.7,17.6,43.5,1430,57.1,29.5,36.8,0,7,1.8,5.6,35,5,0.4,2.48,14.87,9,3,14.3,37,28,64,61,43365
ZW,Zimbabwe,24,1.41,89.4,26.3,-2.7,12750,12820,64,9556,11873,49,12376,93,84,35,0,2,2,0.69,81.6,11.5,0,19.78,30.66,13.14,72,5398,6260,1,3,1,1,42,1,66,92,33.1,44,0,86.9,8.3,1,2,1,50,34,28,30,51,0,0,0,0,1,2,1,0,0,0,2,0,31,14.4,32.2,1790,43.2,5.2,34.1,0,33.2,2.5,3.2,22,3.5,0.4,3.85,10.38,10,-2,27.1,38,28,75,77,203056
G00,All countries,57.666,14.975,106.684,12.899,6.301,33087.7,49947.5,36.95,12310.25,29724.91,42.13,169273.32,96.28,89.532,75.127,0.76,1.64,1.42,2.493,93.871,79.944,45.48,2.877,3.87,18.58,138.077,3863.73,4551.16,2.75,2.02,1.53,1.73,50.94,2.23,60.63,92.776,59.53,59.698,1.39,88.362,8.98,2.44,1.5,1.69,52.614,47.236,27.445,27.566,55.876,1.96,1.21,0.33,0.42,1.46,2.11,0.9,1.58,0.84,0.74,1.82,1.2,812.008,68.864,62.351,15694.2,38.9,4.271,85.623,7.878,62.996,2.02,5.707,45.39,6.068,0.61,36.044,32.7,5.938,4.959,60.09,64.699,58.761,85.74,80.776,10233263.97
G01,Africa,26.738,1.269,88.527,25.577,11.25,12723.077,14983.462,59.769,9014.923,14581.962,51.885,26176.038,91.955,75.753,46.44,0.192,0.962,1,0.95,79.608,37.065,25.988,6.675,9.42,62.222,48.035,4371.115,6079.115,2.308,1.692,0.962,1.385,43.077,1.5,56.692,91.308,34.158,52.846,0.885,70.988,5.862,1.962,1.154,1.577,54.077,47.692,30.923,30,54.369,1.192,0.462,0.308,0.423,1.269,1.885,0.962,1.346,0.731,0.615,1.885,0.192,75.415,37.962,43.485,2170.769,42.827,12.727,53.981,1.981,28.742,2.181,4.688,34.462,4.881,0.392,12.754,24.51,9.227,7.631,31.692,39.342,30.115,73.996,66.362,573051.808
G02,Asia,59.692,14.587,110.573,13.792,9.412,49775.769,59698.462,27.038,12947.577,30976.154,39.962,438350.577,97.562,91.77,81.193,0.923,1.808,1.538,1.815,97.77,89.616,46.012,1.468,2.499,3.505,129.865,3633.538,4069.808,2.923,1.923,1.615,1.692,57.831,2.346,60.862,94.231,62.427,66.642,1.346,90.485,9.177,2.385,1.269,1.692,56.385,50.531,28.342,29.538,53.823,1.885,1.192,0.269,0.423,1.692,2.231,0.923,1.538,0.846,0.692,1.731,1.5,1142.512,160.562,57,14540.615,36.938,2.288,92.42,6.085,64.585,2.004,5.427,43.654,6.196,0.638,74.495,86.76,6.569,8.2,57.762,63.835,57.265,89.623,81.427,22150025.46
G03,Central Asia,81.325,13.505,104.575,11.45,12.5,24077.5,24377.5,36,11645,21730,41.5,35262,97.875,89.075,63.83,0.75,1.75,2,0.338,100,98.925,30.925,0.975,3.873,1.435,45.9,3702.75,4429,3,2.75,1.25,1.5,45,3,52,93,63.15,43,1.75,96.275,10.95,1.75,0.5,2,39,47,26,25,38.325,1.5,1,0.25,0.25,1.75,2,1,1.25,0.75,0.5,2,0.75,172.325,35.65,59.6,4842.5,32.35,6.1,99.725,0.325,71.075,2.25,2.475,26.75,4.7,0.675,24.093,11.413,6.75,11.5,70.25,66.75,60,92,80.5,4349926.75
G04,East Asia,76.983,28.782,126.4,1.333,1.75,88903.333,110846.667,19.833,15048.333,51363.333,38.333,1585344.5,99.95,96.033,90.367,1.167,2,1.5,2.043,99.733,95.233,56.333,1.037,0.948,1.297,226.933,3356.833,3191.833,3,2,2,2,58.333,2.667,65.333,89.667,79.4,80,1.667,98.533,10.983,2.667,1.5,1.667,45,48.333,23.667,21.333,52.15,2.333,1.333,0.333,0.667,1.833,2.5,1,1.667,0.833,0.833,2,2.333,3504.217,266.25,79.833,26946,37.017,0.1,98.317,2.3,95.8,1.833,6.617,57.5,7.117,0.767,159.628,112.67,1.5,1.667,73.45,78.667,77.167,95.167,93.5,79716447.83
G05,Europe,84.342,31.973,118.171,4.629,1.35,52271.25,84330,20.458,13980,41704.167,33.167,113670.417,99.347,98.161,96.618,1.208,1.917,1.833,4.832,100,100,62.254,0.835,0.689,1.193,184.75,3184.708,3102.542,3,2.625,1.833,2,56.5,2.75,65.333,92,84.867,65.25,1.792,99.238,11.742,2.75,2,2,42.333,44,18.75,21.667,59.563,2.75,1.833,0.458,0.458,1.583,2.375,1,1.958,1,0.958,1.833,1.792,854.742,30.088,72.817,29642.5,33.054,0.379,100,12.1,94.113,1.717,7.471,61.75,7.163,0.796,24.552,5.419,3.958,1.292,81.967,85.833,81.875,93.208,91.917,9123274.333
G06,Europe (EU),84.718,33.131,118.582,4.209,1.427,53578.182,88086.364,20.318,14064.091,43032.727,32.5,116594.045,99.711,99.07,97.985,1.273,1.909,1.818,5.18,100,100,63.623,0.855,0.654,1.243,194.955,3204.545,3085.227,3,2.591,1.818,2,55.545,2.727,64.182,92,85.777,65,1.864,99.355,11.914,2.727,2,2,42.455,44.091,19.091,22.636,60.159,2.773,1.864,0.455,0.455,1.682,2.318,1,1.955,1,0.955,1.818,1.818,822.291,22.318,72.636,31400.455,32.441,0.414,100,13.132,95.123,1.595,7.818,64.227,7.286,0.8,18.768,3.56,3.636,1.364,82.514,86.364,82.727,93.182,91.818,7873049.727
G07,Gulf Cooperation Council,95.5,11.957,128.767,1.117,1.767,23246.667,54725,20,19061.667,52813.333,30.333,166984,99.753,99.517,98.063,1.833,2,1.667,4.133,100,99.867,62.167,0.51,0.99,1.395,309.833,4389.5,6092.833,3,1.667,2,2,33.333,3,56,93.667,71.567,50.667,1.833,95.317,9.467,2.833,1.833,2,49.667,51.333,30.667,35.667,52.017,2.667,2,0.5,0.167,1,2.667,1,1.333,0.833,0.5,2,2.667,275.1,9.417,90.55,32405,37.067,0,99.983,20.517,93.417,2.017,2.9,51.667,6.667,0.733,8.852,0.562,0.883,1.667,94.983,92.433,91.55,97.667,95.933,999033
G08,Latin America,44.187,10.173,107.047,9.687,2.54,12278,29623.333,49.2,11174,21023.333,49.267,60840.333,94.593,89.794,66.001,0.2,1.867,1.2,1.593,98.353,93.433,40.94,3.229,3.526,7.183,100.62,4345.933,4551.733,2.667,2,1.6,1.8,52.173,2.067,62.4,94.04,48.873,54.44,1.467,92.613,8.867,2.6,1.4,1.267,61.373,44.933,34.173,27.693,57.967,1.667,1.067,0.2,0.4,1.4,1.533,0.6,1.533,0.733,0.8,2,0.667,334.747,38.247,71.96,7578.267,46.207,1.76,97.067,9.74,51.227,2.227,5.947,35.733,5.66,0.56,24.741,13.156,5.32,2.153,59.307,59.513,54.193,80.993,78.833,5033820.867
G09,Middle East and North Africa,85.7,10.936,117.85,7.19,4.49,15704,37324,32.3,15945,42209,35.7,113302.8,99.552,98.876,90.222,1.3,2,1.4,3.016,99.99,99.71,51.63,1.081,1.119,2.086,234,4170.3,7081,3,1.4,1.8,1.9,33.8,2.6,50.8,94.2,60.98,53,1.6,89.34,8.63,2.7,1.4,1.9,49.4,47.6,27.8,33,49.19,2,1.5,0.4,0.1,0.9,2.3,0.9,1.2,0.8,0.4,2,1.8,224.78,23.79,80.98,21207,35.31,0.06,99.9,13.85,84.02,2.17,3.39,45.1,6,0.64,15.313,8.685,4.13,4,81.94,81.06,76.93,94,89.96,1849039.4
G10,North Africa,66.533,6.087,113.8,21.367,10.733,3640,12306.667,54,9706.667,19073.333,50,35580,99.167,97.753,71.88,0.333,2,1.333,0.163,99.967,99.3,34.133,1.567,1.75,3.313,46.333,3450.667,8442.667,3,1,1.333,1.667,36,1.667,44,94.667,40.333,59.333,1.333,75.467,6.933,2.333,0.333,2,50,42,23.333,29.333,49.733,0.667,0.333,0.333,0,1,1.667,1,1,0.667,0.333,2,0.333,180.2,58.4,59.3,3316.667,32.967,0.2,99.7,1.9,63.733,2.267,3.967,37.667,4.867,0.467,31.563,27.33,11.667,9.333,57.1,55,43.333,86.667,77.333,3732065.333
G11,North America,87.5,37.09,106.45,1.05,4.85,49500,124215,24,13270,53430,41.5,91328.5,99.65,99.65,99.4,1.5,2,2,3.965,100,100,76.95,0.705,0.875,0.87,519,2639.5,1512.5,3,2,2,2,50.9,2.5,63.3,88.5,91.55,64.25,2,100,13.35,3,2.5,2,54.4,44.9,16.5,15.6,66.45,3.5,2,0.5,1,2,3,1,2,1,1,0,3,11146.25,183.15,81.8,53855,37.75,0.6,100,4.4,98.5,1.85,8.6,76,8.3,0.85,158.56,22.355,1,4.5,89.15,94.5,93.5,94,89.5,65383146.5
G12,South Asia,19.675,3.933,92.975,54.15,30.975,21772.5,25232.5,30.25,8480,14605,46.5,23560.25,95.785,88.558,77.9,0.5,2,1.25,0.188,96.65,84.825,40.55,1.015,3.583,3.83,22.25,3083,4943.5,3,1.75,1.5,1.5,59.5,2,66,96.5,44.825,66,1.5,74.825,7.225,2.5,1.5,1,64.5,57.5,32,43.5,66.2,1.75,0.75,0.75,0.25,1.75,2,1,1.75,1,0.75,2,1,848.95,436.85,31.4,2352.5,35.35,1.9,89.125,1.05,36.2,2.45,5.8,34.5,4.925,0.525,131.145,300.703,19.75,26.5,24.75,37.5,17.75,86,59.5,7933288.5
G13,Southeast Asia-Pacific,57.175,11.401,110.525,7.35,5.025,48112.5,57386.667,26.583,13820.583,29321.667,38.083,137479.917,96.855,91.608,83.491,1,1.667,1.5,2.735,96.419,85.302,47.7,1.998,2.456,5.192,145.192,3932.333,4097.833,2.833,1.667,1.583,1.667,61.3,2.083,59.867,96.167,59.567,68.058,1,89.75,8.333,2.417,1.333,1.833,65.167,50.483,30.242,30.5,55.7,1.833,1.333,0.083,0.417,1.583,2.25,0.833,1.5,0.833,0.667,1.417,1.5,382.908,57.258,53.25,15633.333,38.958,2.242,88.136,11.575,56.275,1.858,5.692,45.417,6.658,0.6,29.847,27.606,4.65,4.267,56.758,64.225,59.575,87.267,83.008,4039092.833
G14,Sub-Saharan Africa,21.548,0.641,85.23,26.126,11.317,13907.826,15332.609,60.522,8924.696,13996.13,52.13,24949.435,91.014,72.884,43.122,0.174,0.826,0.957,1.053,76.952,28.948,24.926,7.341,10.42,69.906,48.257,4491.174,5770.826,2.217,1.783,0.913,1.348,44,1.478,58.348,90.87,33.352,52,0.826,70.404,5.722,1.913,1.261,1.522,54.609,48.435,31.913,30.087,54.974,1.261,0.478,0.304,0.478,1.304,1.913,0.957,1.391,0.739,0.652,1.87,0.174,61.748,35.296,41.422,2021.304,44.113,14.361,48.017,1.991,24.178,2.17,4.783,34.043,4.883,0.383,10.3,24.143,8.909,7.409,28.378,37.3,28.391,72.343,64.93,161006.565
G15,High income,88.505,29.492,121.811,3.341,1.911,55860.27,89850,20.297,14827.297,46554.324,33.162,388460,99.668,99.113,97.497,1.324,1.946,1.811,4.928,99.973,99.924,65.454,0.744,0.722,1.261,264.962,3442.054,3520.162,2.973,2.216,1.892,2,50.805,2.811,61.962,91.757,83.797,62.5,1.811,98.627,11.592,2.811,2,2,46.292,46.535,22.027,24.141,57.2,2.784,1.865,0.432,0.486,1.622,2.514,0.973,1.865,0.973,0.892,1.676,2.189,1396.795,31.141,79.522,35273.405,34.981,0.27,99.957,16.505,95.105,1.684,7.111,65.189,7.397,0.8,26.949,4.065,2.873,1.811,86.914,88.232,85.359,94.378,92.557,10493773.78
G16,Low income,9.88,0.238,58.89,34.56,19.07,16036,14206,46.9,8135.9,9402,51.9,7406.2,84.957,64.371,31.239,0,0.5,0.9,0.63,62.11,14.35,12.06,11.47,14.083,140.105,34.15,4739.5,6054.4,2.2,1.5,0.6,1.4,44,1.6,55.8,90.4,25.2,51.6,1,63.49,4.29,1.8,1.5,1.6,56.4,46.4,29.8,28.8,53.35,1.2,0.5,0.3,0.4,1.3,2.2,0.9,1.6,0.7,0.9,1.7,0,23.24,33.05,27.93,599,40.98,20.81,26.37,0.48,9.76,2.09,4.44,32.2,4.93,0.34,5.74,26.343,8.8,11.4,14.94,24.4,15.6,61.3,49.9,107878.1
G17,Lower middle income,31.465,3.092,98.765,21.673,11.004,16358.077,19133.077,49.731,10308.962,17131.269,49.269,42145.192,95.203,82.962,60.54,0.346,1.462,1.269,0.527,93.528,66.285,31.862,3.741,6.301,11.562,44.442,3845.038,4974.5,2.5,1.769,1.385,1.462,49.754,1.538,59.4,94.154,39.885,59.104,0.846,78.277,6.608,2.038,1,1.462,57.538,49.069,32.573,32.231,55.323,1.192,0.577,0.269,0.346,1.154,1.615,0.808,1.192,0.731,0.462,1.885,0.5,242.888,110.927,44.519,2220,39.95,6.565,77.586,2.365,36.919,2.262,4.688,31.269,5.15,0.442,39.143,70.822,9.373,9.331,35.027,47.331,37.958,83.196,73.865,2678167.462
