MB_CODE_2016,LGA_CODE_2016,LGA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
80004050000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0674
80004400000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0555
80004460000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0207
80004094000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0558
80056550600,89399,Unincorporated ACT,8,Australian Capital Territory,0.0148
80004210000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0313
80004190000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0056
80045430000,89399,Unincorporated ACT,8,Australian Capital Territory,0.126
80004360000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0591
80004310000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0761
80046960000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0185
80004380000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0372
80004040000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0111
80004280000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0426
80049170000,89399,Unincorporated ACT,8,Australian Capital Territory,0.009
80004430000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0332
80049180000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0088
80003090000,89399,Unincorporated ACT,8,Australian Capital Territory,0.034
80049710000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0088
80056525500,89399,Unincorporated ACT,8,Australian Capital Territory,0.0211
80056502700,89399,Unincorporated ACT,8,Australian Capital Territory,0.0048
80056500100,89399,Unincorporated ACT,8,Australian Capital Territory,0.0359
80056551300,89399,Unincorporated ACT,8,Australian Capital Territory,0.0065
80056504300,89399,Unincorporated ACT,8,Australian Capital Territory,0.0225
80006370000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0533
80050130000,89399,Unincorporated ACT,8,Australian Capital Territory,0.001
80050120000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0016
80047170000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0018
